perfil,Re,Mach,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,DeltaTE_upper,DeltaTE_lower,RMSE_upper,RMSE_lower,MaxError_upper,MaxError_lower,distance_to_train,d1,d3,d5,d10,d20,dmean3,dmean5,dmean10,dmean20,nearest_train_geom_index,nearest_train_profile,CL_pred,CD_pred,CM_pred,erro_CL_abs,erro_CL_pct,erro_CD_abs,erro_CD_pct,erro_CM_abs,erro_CM_pct,CL_CD_real,CL_CD_pred,erro_CL_CD_abs,erro_CL_CD_pct,faixa_distancia,faixa_alpha
ag04,200000,0.1,10.0,1.0673,0.05676,0.05283,-0.0139,0.0205,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,1.0066946744918823,0.05627033859491348,-0.016456950455904007,0.06060532550811759,5.678377729609069,0.0004896614050865153,0.8626874649163413,0.002556950455904008,18.395327020892143,18.803735024665258,17.890325518369668,0.91340950629559,4.857596137668668,"(-0.001, 0.5]","[9.0, 12.0)"
ag04,200000,0.1,11.0,0.9483,0.09799,0.09491,-0.0439,0.0237,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.9111648797988892,0.07837662845849991,-0.025385316461324692,0.03713512020111087,3.915967542034258,0.019613371541500085,20.01568684712735,0.01851468353867531,42.174677764636236,9.677518114093276,11.625466643813942,1.9479485297206658,20.12859605898218,"(-0.001, 0.5]","[9.0, 12.0)"
ag04,200000,0.1,12.0,0.7368,0.12485,0.12171,-0.0414,0.0348,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.8030696511268616,0.10309045016765594,-0.03436727449297905,0.06626965112686156,8.99425232449261,0.021759549832344058,17.428554130832246,0.00703272550702095,16.987259678794565,5.9014817781337605,7.7899519288239585,1.888470150690198,31.999931910107385,"(-0.001, 0.5]","[9.0, 12.0)"
ag04,250000,0.1,0.0,0.1991,0.00662,0.00206,-0.0414,0.9525,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.20781946182250977,0.007180849555879831,-0.0447213351726532,0.008719461822509766,4.379438383982806,0.0005608495558798313,8.472047671900775,0.003321335172653199,8.022548726215458,30.075528700906343,28.94079039051066,1.134738310395683,3.772962137026329,"(-0.001, 0.5]","[0.0, 3.0)"
ag04,250000,0.1,1.0,0.3129,0.0068,0.00184,-0.0395,0.8312,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.3208697736263275,0.00724155455827713,-0.044280651956796646,0.007969773626327503,2.547067314262545,0.0004415545582771305,6.49344938642839,0.004780651956796646,12.10291634632062,46.01470588235294,44.30951545612149,1.7051904262314537,3.7057510061917176,"(-0.001, 0.5]","[0.0, 3.0)"
ag04,250000,0.1,2.0,0.4143,0.00751,0.00194,-0.0356,0.6845,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.41924116015434265,0.007532259915024042,-0.04091954603791237,0.00494116015434265,1.1926527044032464,2.2259915024041947e-05,0.29640366210442004,0.005319546037912369,14.942545050315644,55.1664447403462,55.65941229910472,0.4929675587585223,0.8936003780537056,"(-0.001, 0.5]","[0.0, 3.0)"
ag04,250000,0.1,3.0,0.519,0.00856,0.00236,-0.0333,0.5259,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.524967610836029,0.00841318815946579,-0.038103360682725906,0.005967610836029036,1.149828677462242,0.0001468118405342101,1.715091595025819,0.004803360682725903,14.424506554732442,60.63084112149533,62.398177823395166,1.7673367018998363,2.914913712574682,"(-0.001, 0.5]","[3.0, 6.0)"
ag04,250000,0.1,4.0,0.6243,0.00993,0.00319,-0.0319,0.3654,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.6285487413406372,0.009539027698338032,-0.03610118106007576,0.004248741340637241,0.6805608426457218,0.0003909723016619678,3.937284004652244,0.004201181060075762,13.1698465833096,62.870090634441084,65.89232794136326,3.022237306922179,4.807114601591741,"(-0.001, 0.5]","[3.0, 6.0)"
ag04,250000,0.1,5.0,0.7294,0.01159,0.00447,-0.0308,0.2305,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.7292206883430481,0.011394921690225601,-0.0345395989716053,0.00017931165695195261,0.024583446250610447,0.0001950783097743984,1.6831605675099086,0.0037395989716053,12.14155510261461,62.93356341673857,63.99523473413275,1.061671317394179,1.686971561365305,"(-0.001, 0.5]","[3.0, 6.0)"
ag04,250000,0.1,6.0,0.8323,0.01383,0.0064,-0.0297,0.1132,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.8329752087593079,0.014403467066586018,-0.03326224535703659,0.0006752087593078215,0.08112564691911829,0.0005734670665860173,4.146544226941557,0.00356224535703659,11.994092111234309,60.180766449746926,57.83157658559106,2.3491898641558677,3.903555907878848,"(-0.001, 0.5]","[6.0, 9.0)"
