alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,CL_CD,CL_ML,CD_ML,CM_ML,CL_CD_ML,erro_CL_pct,erro_CD_pct,erro_CM_pct,erro_CL_CD_pct
9.25,1.5135,0.02072,0.01368,-0.1122,0.2108,1.0,73.0453667953668,1.6917641162872314,0.02057899720966816,-0.16380946338176727,82.20828736457716,11.778269989245548,0.6805153973544371,45.997739199436076,12.544150260590591
9.5,1.5314,0.02099,0.01395,-0.1102,0.2019,1.0,72.95855169128156,1.7253142595291138,0.02460230514407158,-0.15240132808685303,70.12815463533354,12.662547964549672,17.2096481375492,38.29521604977588,3.879458939816428
9.75,1.551,0.02125,0.01436,-0.1085,0.1905,1.0,72.98823529411764,1.7253142595291138,0.02460230514407158,-0.15240132808685303,70.12815463533354,11.238830401619202,15.775553619160362,40.462053536270076,3.9185502256068414
10.0,1.5698,0.02162,0.01479,-0.1067,0.1774,1.0,72.60869565217392,1.7253142595291138,0.02460230514407158,-0.15240132808685303,70.12815463533354,9.906628839923155,13.794195856020252,42.8316102032362,3.416313975289141
10.25,1.5876,0.02214,0.01533,-0.1049,0.1612,1.0,71.70731707317073,1.7253142595291138,0.02460230514407158,-0.15240132808685303,70.12815463533354,8.674367569231158,11.121522782617792,45.28248626010776,2.202233331677705
10.5,1.6048,0.02287,0.01607,-0.1031,0.1404,1.0,70.17052907739397,1.7423228025436401,0.02863483317196369,-0.13928720355033875,60.84627041758165,8.569466758701404,25.206966208848666,35.09913050469326,13.287998227187664
10.75,1.6179,0.02402,0.01713,-0.1007,0.1174,1.0,67.35636969192339,1.7423228025436401,0.02863483317196369,-0.13928720355033875,60.84627041758165,7.690388932791906,19.2124611655441,38.31897075505337,9.665157585121987
11.0,1.6284,0.02539,0.01844,-0.098,0.0984,1.0,64.13548641197322,1.7423228025436401,0.02863483317196369,-0.13928720355033875,60.84627041758165,6.995996225966596,12.779965230262672,42.12979954116198,5.128542992974817
11.25,1.6365,0.0268,0.01985,-0.0949,0.086,1.0,61.0634328358209,1.7423228025436401,0.02863483317196369,-0.13928720355033875,60.84627041758165,6.466410176818825,6.8463924327003385,46.77260648086274,0.3556341465818417
11.5,1.6429,0.02822,0.02133,-0.0915,0.0775,1.0,58.21757618710135,1.7613862752914429,0.0334043987095356,-0.1299516260623932,52.72917170601962,7.212019921568132,18.371363251366407,42.02363504086687,9.427401208602252
11.75,1.645,0.02985,0.02297,-0.0876,0.0712,1.0,55.108877721943045,1.7613862752914429,0.0334043987095356,-0.1299516260623932,52.72917170601962,7.07515351315762,11.907533365278383,48.34660509405616,4.3181899437880995
12.0,1.6519,0.03113,0.0244,-0.0844,0.066,1.0,53.06456794089303,1.7613862752914429,0.0334043987095356,-0.1299516260623932,52.72917170601962,6.627899708907497,7.306131415148079,53.97112092700614,0.6320530777655528
