perfil,Re,Mach,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
a18sm,300000,0.1,8.0,1.2507,0.026,0.01842,-0.0919,0.0241,1.0
a18sm,300000,0.1,9.0,1.3276,0.03253,0.02549,-0.0863,0.0196,1.0
a63a108c,200000,0.1,0.0,-0.0004,0.00834,0.00351,-0.0025,0.9979,1.0
a63a108c,200000,0.1,1.0,0.1667,0.00832,0.00339,-0.0129,0.9316,1.0
a63a108c,200000,0.1,2.0,0.2507,0.00845,0.00336,-0.0039,0.8255,1.0
a63a108c,200000,0.1,3.0,0.3447,0.00951,0.00316,0.0024,0.4942,1.0
a63a108c,200000,0.1,4.0,0.4535,0.01259,0.00454,0.0017,0.1636,1.0
a63a108c,200000,0.1,5.0,0.5634,0.01524,0.00675,0.0016,0.0939,1.0
a63a108c,200000,0.1,6.0,0.6716,0.0183,0.0097,0.0021,0.0647,1.0
a63a108c,200000,0.1,7.0,0.7777,0.02276,0.0145,0.003,0.0501,1.0
a63a108c,200000,0.1,8.0,0.8779,0.02911,0.02153,0.004,0.0426,1.0
a63a108c,200000,0.1,9.0,0.8969,0.05593,0.0515,0.0057,0.048,1.0
a63a108c,200000,0.1,10.0,0.6694,0.09454,0.09102,-0.0071,0.0777,1.0
a63a108c,200000,0.1,11.0,0.644,0.11527,0.1117,-0.0155,0.0706,1.0
a63a108c,200000,0.1,12.0,0.7752,0.14272,0.13891,-0.0422,0.058,1.0
a63a108c,200000,0.1,13.0,0.7802,0.16102,0.15716,-0.0518,0.0526,1.0
a63a108c,200000,0.1,14.0,0.7961,0.17729,0.17341,-0.0597,0.0475,1.0
a63a108c,200000,0.1,15.0,0.8169,0.19306,0.18917,-0.0682,0.043,1.0
a63a108c,200000,0.1,16.0,0.8423,0.2086,0.20471,-0.077,0.0394,1.0
a63a108c,200000,0.1,17.0,0.8719,0.22336,0.21948,-0.0854,0.0367,1.0
a63a108c,250000,0.1,0.0,0.044,0.00737,0.00307,-0.0107,0.9777,1.0
a63a108c,250000,0.1,1.0,0.1474,0.00752,0.00301,-0.0073,0.898,1.0
a63a108c,250000,0.1,2.0,0.2403,0.0076,0.00282,-0.0008,0.7891,1.0
a63a108c,250000,0.1,3.0,0.3419,0.00923,0.00286,0.0025,0.4034,1.0
a63a108c,250000,0.1,4.0,0.4535,0.01172,0.00407,0.0015,0.148,1.0
a63a108c,250000,0.1,5.0,0.5647,0.01396,0.00594,0.0012,0.0846,1.0
a63a108c,250000,0.1,6.0,0.6736,0.01661,0.00843,0.0014,0.0579,1.0
a63a108c,250000,0.1,7.0,0.7802,0.02023,0.01229,0.0022,0.0445,1.0
a63a108c,250000,0.1,8.0,0.8822,0.02549,0.01807,0.0032,0.0374,1.0
a63a108c,250000,0.1,9.0,0.9686,0.03436,0.02804,0.0048,0.0339,1.0
a63a108c,250000,0.1,10.0,0.9741,0.05497,0.05078,0.0071,0.0338,1.0
a63a108c,250000,0.1,11.0,0.7675,0.1237,0.12031,-0.0368,0.0533,1.0
a63a108c,250000,0.1,12.0,0.7663,0.14327,0.13983,-0.0461,0.0487,1.0
a63a108c,250000,0.1,13.0,0.776,0.16086,0.15739,-0.0541,0.0445,1.0
a63a108c,250000,0.1,14.0,0.7936,0.17708,0.1736,-0.0616,0.0401,1.0
a63a108c,250000,0.1,15.0,0.817,0.19268,0.1892,-0.0691,0.0371,1.0
a63a108c,250000,0.1,16.0,0.851,0.20661,0.20315,-0.0738,0.034,1.0
a63a108c,250000,0.1,17.0,0.8748,0.22199,0.21853,-0.0849,0.0307,1.0
a63a108c,300000,0.1,0.0,0.0478,0.00682,0.00286,-0.0105,0.9507,1.0
a63a108c,300000,0.1,1.0,0.1339,0.00691,0.00268,-0.0034,0.8751,1.0
a63a108c,300000,0.1,2.0,0.2344,0.00704,0.00246,0.0009,0.754,1.0
a63a108c,300000,0.1,3.0,0.3406,0.009,0.00268,0.0024,0.3443,1.0
a63a108c,300000,0.1,4.0,0.4535,0.01108,0.00375,0.0013,0.1369,1.0
a63a108c,300000,0.1,5.0,0.5656,0.01307,0.00538,0.0009,0.0781,1.0
a63a108c,300000,0.1,6.0,0.6758,0.01533,0.00756,0.0009,0.0531,1.0
a63a108c,300000,0.1,7.0,0.7826,0.01854,0.01088,0.0015,0.0407,1.0
a63a108c,300000,0.1,8.0,0.8857,0.0228,0.01538,0.0024,0.0339,1.0
a63a108c,300000,0.1,9.0,0.9788,0.02958,0.02313,0.0039,0.03,1.0
a63a108c,300000,0.1,10.0,0.9909,0.05022,0.04627,0.0069,0.0293,1.0
a63a108c,300000,0.1,12.0,0.6276,0.12931,0.12634,-0.0236,0.0473,1.0
a63a108c,300000,0.1,13.0,0.6084,0.14555,0.14257,-0.0306,0.0431,1.0
a63a108c,300000,0.1,14.0,0.5961,0.15626,0.15329,-0.0347,0.0392,1.0
a63a108c,300000,0.1,15.0,0.5988,0.16739,0.16445,-0.0392,0.0356,1.0
a63a108c,300000,0.1,16.0,0.6076,0.17848,0.17555,-0.0437,0.0331,1.0
a63a108c,300000,0.1,17.0,0.6259,0.18881,0.18592,-0.0469,0.0304,1.0
ag03,200000,0.1,0.0,0.2093,0.00772,0.00265,-0.0397,0.9595,1.0
ag03,200000,0.1,1.0,0.337,0.0077,0.0023,-0.0408,0.8592,1.0
ag03,200000,0.1,2.0,0.4356,0.00824,0.0023,-0.0359,0.7255,1.0
ag03,200000,0.1,3.0,0.5372,0.00921,0.00268,-0.0327,0.575,1.0
ag03,200000,0.1,4.0,0.6394,0.01059,0.00347,-0.0305,0.4127,1.0
ag03,200000,0.1,5.0,0.7416,0.01235,0.0048,-0.029,0.2699,1.0
ag03,200000,0.1,6.0,0.8418,0.01469,0.00682,-0.0275,0.1516,1.0
ag03,200000,0.1,7.0,0.9377,0.01813,0.01025,-0.0253,0.0814,1.0
ag03,200000,0.1,8.0,1.0279,0.02307,0.01562,-0.0222,0.0475,1.0
ag03,200000,0.1,9.0,1.1051,0.03101,0.02445,-0.0182,0.0282,1.0
ag03,200000,0.1,10.0,1.1414,0.04346,0.03842,-0.0125,0.0193,1.0
ag03,200000,0.1,11.0,1.0913,0.06083,0.05712,-0.0105,0.018,1.0
ag03,250000,0.1,0.0,0.2243,0.00674,0.00216,-0.0417,0.9348,1.0
ag03,250000,0.1,1.0,0.3306,0.00691,0.00187,-0.0383,0.8216,1.0
ag03,250000,0.1,2.0,0.4318,0.00757,0.00192,-0.0347,0.6874,1.0
ag03,250000,0.1,3.0,0.5353,0.00855,0.00231,-0.0323,0.5385,1.0
ag03,250000,0.1,4.0,0.6391,0.00988,0.00307,-0.0306,0.3816,1.0
ag03,250000,0.1,5.0,0.7427,0.01151,0.00429,-0.0294,0.2478,1.0
ag03,250000,0.1,6.0,0.8446,0.01361,0.0061,-0.0282,0.1371,1.0
ag03,250000,0.1,7.0,0.942,0.01669,0.00918,-0.0262,0.0721,1.0
ag03,250000,0.1,8.0,1.0312,0.02149,0.01427,-0.0233,0.0408,1.0
ag03,250000,0.1,9.0,1.1155,0.02667,0.02015,-0.0199,0.0227,1.0
ag03,250000,0.1,10.0,1.1644,0.03739,0.0321,-0.0145,0.0141,1.0
ag03,250000,0.1,11.0,1.1256,0.05408,0.0503,-0.0091,0.013,1.0
ag03,250000,0.1,12.0,1.0494,0.08303,0.07997,-0.029,0.0136,1.0
ag03,250000,0.1,13.0,0.7577,0.12827,0.12554,-0.0384,0.0282,1.0
ag03,250000,0.1,14.0,0.7096,0.14728,0.14447,-0.0446,0.0293,1.0
ag03,300000,0.1,0.0,0.2255,0.00609,0.00184,-0.0411,0.91,1.0
ag03,300000,0.1,1.0,0.3262,0.00641,0.00159,-0.0368,0.7904,1.0
ag03,300000,0.1,2.0,0.4294,0.00711,0.00168,-0.034,0.656,1.0
ag03,300000,0.1,3.0,0.5342,0.00809,0.00207,-0.0321,0.5086,1.0
ag03,300000,0.1,4.0,0.6391,0.00938,0.00281,-0.0308,0.3571,1.0
ag03,300000,0.1,5.0,0.7438,0.01089,0.00394,-0.0298,0.2306,1.0
ag03,300000,0.1,6.0,0.8466,0.01286,0.00562,-0.0287,0.1269,1.0
ag03,300000,0.1,7.0,0.9447,0.01577,0.00847,-0.0269,0.0647,1.0
ag03,300000,0.1,8.0,1.0389,0.01933,0.01246,-0.0245,0.0366,1.0
ag03,300000,0.1,9.0,1.1197,0.02538,0.01912,-0.0207,0.0198,1.0
ag03,300000,0.1,10.0,1.1781,0.03415,0.02905,-0.0156,0.0116,1.0
ag03,300000,0.1,11.0,1.1846,0.04467,0.04055,-0.0099,0.008,1.0
ag03,300000,0.1,12.0,1.1259,0.06684,0.06367,-0.0208,0.0079,1.0
ag03,300000,0.1,13.0,0.9373,0.13683,0.13426,-0.0602,0.0168,1.0
ag03,300000,0.1,14.0,0.9086,0.16823,0.16551,-0.0738,0.0183,1.0
ag03,300000,0.1,15.0,0.6871,0.16606,0.16347,-0.0524,0.0332,1.0
ag03,300000,0.1,16.0,0.6933,0.1799,0.17733,-0.0555,0.0299,1.0
ag03,300000,0.1,17.0,0.6915,0.19274,0.19017,-0.0627,0.0238,1.0
ag04,200000,0.1,0.0,0.1777,0.00755,0.00248,-0.0378,0.9749,1.0
ag04,200000,0.1,1.0,0.3198,0.00756,0.00225,-0.042,0.8712,1.0
ag04,200000,0.1,2.0,0.4182,0.00815,0.0023,-0.0368,0.7246,1.0
ag04,200000,0.1,3.0,0.5207,0.0092,0.00273,-0.0337,0.5634,1.0
ag04,200000,0.1,4.0,0.6244,0.01065,0.0036,-0.0317,0.3953,1.0
ag04,200000,0.1,5.0,0.7281,0.01246,0.00501,-0.0303,0.2517,1.0
ag04,200000,0.1,6.0,0.8298,0.01491,0.00717,-0.029,0.1275,1.0
ag04,200000,0.1,7.0,0.9238,0.01941,0.01154,-0.0265,0.05,1.0
ag04,200000,0.1,8.0,1.0088,0.02757,0.02039,-0.0226,0.0271,1.0
ag04,200000,0.1,9.0,1.0795,0.03717,0.03133,-0.0183,0.0198,1.0
ag04,200000,0.1,10.0,1.0673,0.05676,0.05283,-0.0139,0.0205,1.0
ag04,200000,0.1,11.0,0.9483,0.09799,0.09491,-0.0439,0.0237,1.0
ag04,200000,0.1,12.0,0.7368,0.12485,0.12171,-0.0414,0.0348,1.0
ag04,200000,0.1,13.0,0.6862,0.1485,0.14531,-0.05,0.0549,1.0
ag04,200000,0.1,14.0,0.6901,0.16098,0.1578,-0.0512,0.0487,1.0
ag04,200000,0.1,15.0,0.6778,0.1728,0.1696,-0.0583,0.0415,1.0
ag04,200000,0.1,16.0,0.6992,0.1877,0.18453,-0.0592,0.0377,1.0
ag04,200000,0.1,17.0,0.6894,0.19793,0.19473,-0.0679,0.034,1.0
ag04,250000,0.1,0.0,0.1991,0.00662,0.00206,-0.0414,0.9525,1.0
ag04,250000,0.1,1.0,0.3129,0.0068,0.00184,-0.0395,0.8312,1.0
ag04,250000,0.1,2.0,0.4143,0.00751,0.00194,-0.0356,0.6845,1.0
ag04,250000,0.1,3.0,0.519,0.00856,0.00236,-0.0333,0.5259,1.0
ag04,250000,0.1,4.0,0.6243,0.00993,0.00319,-0.0319,0.3654,1.0
ag04,250000,0.1,5.0,0.7294,0.01159,0.00447,-0.0308,0.2305,1.0
ag04,250000,0.1,6.0,0.8323,0.01383,0.0064,-0.0297,0.1132,1.0
ag04,250000,0.1,7.0,0.9297,0.01753,0.01009,-0.0276,0.0423,1.0
ag04,250000,0.1,8.0,1.0178,0.02354,0.01665,-0.024,0.0216,1.0
ag04,250000,0.1,9.0,1.0828,0.03551,0.03008,-0.019,0.0165,1.0
ag04,250000,0.1,10.0,1.0709,0.05448,0.05081,-0.0144,0.0168,1.0
ag04,250000,0.1,11.0,0.9958,0.08121,0.07828,-0.0328,0.0174,1.0
ag04,300000,0.1,0.0,0.2056,0.00598,0.00176,-0.042,0.9284,1.0
ag04,300000,0.1,1.0,0.3082,0.00631,0.00158,-0.0379,0.7972,1.0
ag04,300000,0.1,2.0,0.412,0.00708,0.0017,-0.035,0.652,1.0
ag04,300000,0.1,3.0,0.518,0.0081,0.00212,-0.0332,0.4959,1.0
ag04,300000,0.1,4.0,0.6244,0.00942,0.00291,-0.0321,0.3423,1.0
ag04,300000,0.1,5.0,0.7305,0.01097,0.00411,-0.0312,0.2146,1.0
ag04,300000,0.1,6.0,0.8345,0.01303,0.00588,-0.0302,0.1031,1.0
ag04,300000,0.1,7.0,0.9319,0.01671,0.0095,-0.0282,0.0371,1.0
ag04,300000,0.1,8.0,1.0199,0.02248,0.01581,-0.0248,0.0179,1.0
ag04,300000,0.1,9.0,1.0964,0.03102,0.02544,-0.0204,0.0135,1.0
ag04,300000,0.1,10.0,1.1072,0.04758,0.04352,-0.0153,0.0119,1.0
ag04,300000,0.1,11.0,1.048,0.06727,0.06416,-0.0215,0.0119,1.0
ag04,300000,0.1,12.0,0.8169,0.10279,0.10034,-0.0349,0.0161,1.0
ag04,300000,0.1,13.0,0.7358,0.13432,0.13176,-0.0457,0.0186,1.0
ag04,300000,0.1,14.0,0.6827,0.15847,0.15585,-0.054,0.0316,1.0
ag04,300000,0.1,15.0,0.6923,0.16954,0.16695,-0.0564,0.0285,1.0
ag04,300000,0.1,16.0,0.6906,0.18432,0.18171,-0.0616,0.0268,1.0
ag04,300000,0.1,17.0,0.6929,0.19644,0.19385,-0.0682,0.0212,1.0
ag08,200000,0.1,0.0,0.1426,0.00754,0.00242,-0.0309,1.0,1.0
ag08,200000,0.1,1.0,0.3172,0.00755,0.00235,-0.0435,0.9333,1.0
ag08,200000,0.1,2.0,0.4264,0.00786,0.00225,-0.0399,0.7666,1.0
ag08,200000,0.1,3.0,0.5253,0.00917,0.00268,-0.0356,0.5515,1.0
ag08,200000,0.1,4.0,0.6283,0.01082,0.00367,-0.0336,0.372,1.0
ag08,200000,0.1,5.0,0.7322,0.01264,0.00513,-0.0322,0.2295,1.0
ag08,200000,0.1,6.0,0.8324,0.01558,0.00761,-0.0307,0.0818,1.0
ag08,200000,0.1,7.0,0.9242,0.02151,0.01374,-0.0271,0.0309,1.0
