perfil,Re,Mach,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
fx77w153,200000,0.1,9.0,1.254,0.0289,0.02188,-0.026,0.3629,1.0
fx77w153,200000,0.1,10.0,1.323,0.03126,0.02465,-0.0213,0.349,1.0
fx77w153,200000,0.1,11.0,1.4028,0.0317,0.02535,-0.0174,0.334,1.0
fx77w153,200000,0.1,12.0,1.4718,0.03214,0.0261,-0.0125,0.3188,1.0
fx77w153,200000,0.1,13.0,1.5336,0.03183,0.02599,-0.0068,0.3026,1.0
fx77w153,200000,0.1,14.0,1.5239,0.03962,0.03418,-0.0037,0.2837,1.0
fx77w153,200000,0.1,15.0,1.3906,0.06569,0.06065,-0.009,0.2603,1.0
fx77w153,200000,0.1,16.0,1.4553,0.06802,0.06313,-0.0083,0.2415,1.0
fx77w153,200000,0.1,17.0,1.2235,0.11313,0.10855,-0.0212,0.2103,1.0
fx77w153,250000,0.1,0.0,0.318,0.01444,0.00781,-0.029,0.4409,0.9636
fx77w153,250000,0.1,1.0,0.502,0.01518,0.00821,-0.0437,0.4322,1.0
fx77w153,250000,0.1,2.0,0.6046,0.01608,0.0088,-0.0423,0.4251,1.0
fx77w153,250000,0.1,3.0,0.706,0.01693,0.00965,-0.0408,0.4163,1.0
fx77w153,250000,0.1,4.0,0.8071,0.01804,0.01061,-0.0392,0.4082,1.0
fx77w153,250000,0.1,5.0,0.9057,0.01902,0.01171,-0.0373,0.3979,1.0
fx77w153,250000,0.1,6.0,1.0022,0.02033,0.01311,-0.0353,0.388,1.0
fx77w153,250000,0.1,7.0,1.1023,0.0211,0.01386,-0.0334,0.3786,1.0
fx77w153,250000,0.1,8.0,1.1919,0.02252,0.0156,-0.0306,0.3668,1.0
fx77w153,250000,0.1,9.0,1.2814,0.02385,0.01717,-0.0278,0.3556,1.0
fx77w153,250000,0.1,10.0,1.375,0.02411,0.01756,-0.0252,0.3426,1.0
fx77w153,250000,0.1,11.0,1.4582,0.02411,0.01785,-0.0211,0.326,1.0
fx77w153,250000,0.1,12.0,1.531,0.02436,0.01847,-0.0162,0.3078,1.0
fx77w153,250000,0.1,13.0,1.5871,0.02535,0.0196,-0.0097,0.2891,1.0
fx77w153,250000,0.1,14.0,1.5968,0.03117,0.02578,-0.0045,0.268,1.0
fx77w153,250000,0.1,15.0,1.5698,0.04379,0.03869,-0.0059,0.2435,1.0
fx77w153,250000,0.1,16.0,1.5087,0.06135,0.05658,-0.0089,0.2219,1.0
fx77w153,250000,0.1,17.0,1.4582,0.07914,0.07459,-0.013,0.1971,1.0
fx77w153,300000,0.1,0.0,0.2439,0.01264,0.0061,-0.0146,0.4305,0.7956
fx77w153,300000,0.1,1.0,0.5021,0.01383,0.00711,-0.0433,0.4223,1.0
fx77w153,300000,0.1,2.0,0.6058,0.01433,0.00743,-0.042,0.4148,1.0
fx77w153,300000,0.1,3.0,0.7093,0.01525,0.00816,-0.0408,0.4079,1.0
fx77w153,300000,0.1,4.0,0.8113,0.01587,0.0088,-0.0392,0.3988,1.0
fx77w153,300000,0.1,5.0,0.913,0.01693,0.0098,-0.0378,0.3912,1.0
fx77w153,300000,0.1,6.0,1.0129,0.01761,0.01059,-0.0359,0.3814,1.0
fx77w153,300000,0.1,7.0,1.1106,0.01865,0.01177,-0.034,0.3718,1.0
fx77w153,300000,0.1,8.0,1.2114,0.0193,0.01242,-0.0323,0.3627,1.0
fx77w153,300000,0.1,9.0,1.3025,0.02014,0.01358,-0.0295,0.3505,1.0
fx77w153,300000,0.1,10.0,1.3938,0.02029,0.01393,-0.0265,0.3353,1.0
fx77w153,300000,0.1,11.0,1.4794,0.02031,0.01423,-0.0227,0.3184,1.0
fx77w153,300000,0.1,12.0,1.5552,0.02085,0.01508,-0.0181,0.2978,1.0
fx77w153,300000,0.1,13.0,1.6007,0.02297,0.01734,-0.0106,0.2752,1.0
fx77w153,300000,0.1,14.0,1.6117,0.02913,0.02385,-0.0058,0.2503,1.0
fx77w153,300000,0.1,15.0,1.5808,0.04261,0.03753,-0.0074,0.2267,1.0
fx77w153,300000,0.1,16.0,1.521,0.06019,0.05552,-0.0102,0.2057,1.0
fx77w153,300000,0.1,17.0,1.4671,0.07837,0.07387,-0.0141,0.1809,1.0
fx78k140,200000,0.1,0.0,0.4536,0.02984,0.02397,-0.1041,0.7252,1.0
fx78k140,200000,0.1,3.0,0.5374,0.03433,0.02799,-0.0662,0.6707,1.0
fx78k140,200000,0.1,4.0,0.5821,0.03628,0.02991,-0.0574,0.6474,1.0
fx78k140,200000,0.1,6.0,0.7739,0.03672,0.03066,-0.0531,0.6172,1.0
fx78k140,200000,0.1,7.0,0.8706,0.03652,0.0308,-0.0509,0.6008,1.0
fx78k140,200000,0.1,9.0,1.0252,0.02941,0.02184,-0.0336,0.1979,1.0
fx78k140,200000,0.1,10.0,0.9946,0.03963,0.03102,-0.0224,0.0281,1.0
fx78k140,200000,0.1,11.0,1.0039,0.04814,0.0399,-0.0157,0.0209,1.0
fx78k140,200000,0.1,12.0,1.0475,0.05377,0.0457,-0.0091,0.016,1.0
fx78k140,200000,0.1,13.0,0.9297,0.05052,0.0437,0.0109,0.017,1.0
fx78k140,250000,0.1,1.0,0.5711,0.02574,0.02021,-0.1018,0.7011,1.0
fx78k140,250000,0.1,2.0,0.6635,0.02494,0.01929,-0.0977,0.6967,1.0
fx78k140,250000,0.1,4.0,0.7279,0.02844,0.02283,-0.0746,0.6577,1.0
fx78k140,250000,0.1,7.0,1.1141,0.01879,0.01411,-0.0752,0.6285,1.0
fx78k140,250000,0.1,8.0,1.1094,0.01833,0.0126,-0.0543,0.427,1.0
fx78k140,250000,0.1,9.0,1.002,0.03067,0.02284,-0.0323,0.1083,1.0
fx78k140,250000,0.1,10.0,1.0001,0.03909,0.03095,-0.0234,0.0214,1.0
fx78k140,250000,0.1,11.0,1.0085,0.04752,0.03965,-0.0167,0.015,1.0
fx78k140,250000,0.1,12.0,1.0621,0.05231,0.0448,-0.0101,0.0134,1.0
fx78k140,300000,0.1,0.0,0.4888,0.01977,0.01467,-0.097,0.7124,0.987
fx78k140,300000,0.1,2.0,0.6928,0.0215,0.01628,-0.1001,0.6894,1.0
fx78k140,300000,0.1,3.0,0.7679,0.02154,0.01634,-0.0944,0.6797,1.0
fx78k140,300000,0.1,5.0,0.9295,0.02085,0.01592,-0.0838,0.6585,1.0
fx78k140,300000,0.1,7.0,1.1636,0.01355,0.00912,-0.0801,0.5979,1.0
fx78k140,300000,0.1,8.0,1.0864,0.019,0.01311,-0.0518,0.3708,1.0
fx78k140,300000,0.1,9.0,0.9861,0.03163,0.02361,-0.0315,0.0393,1.0
fx78k140,300000,0.1,10.0,1.0095,0.03822,0.03041,-0.0247,0.017,1.0
fx78k140,300000,0.1,11.0,1.0273,0.04585,0.03836,-0.0186,0.0126,1.0
fx78k140,300000,0.1,12.0,1.0665,0.05168,0.0445,-0.012,0.0112,1.0
fx78k140,300000,0.1,13.0,0.9531,0.04786,0.04186,0.0088,0.0126,1.0
goe222,200000,0.1,0.0,0.9058,0.01844,0.01085,-0.2074,0.7106,0.432
goe222,200000,0.1,1.0,1.0153,0.0182,0.01051,-0.207,0.682,0.4507
goe222,200000,0.1,2.0,1.1165,0.01783,0.01007,-0.2048,0.6457,0.4719
goe222,200000,0.1,3.0,1.2083,0.0177,0.00984,-0.201,0.6041,0.4952
goe222,200000,0.1,4.0,1.2951,0.01822,0.0103,-0.1966,0.5644,0.5237
goe222,200000,0.1,5.0,1.3902,0.01922,0.01121,-0.1942,0.5352,0.5637
goe222,200000,0.1,6.0,1.4744,0.02051,0.01269,-0.1902,0.5086,0.6245
goe222,200000,0.1,7.0,1.5599,0.02133,0.0141,-0.1862,0.4878,1.0
goe222,200000,0.1,8.0,1.6528,0.02324,0.0159,-0.1843,0.4677,1.0
goe222,200000,0.1,9.0,1.7075,0.0257,0.01858,-0.1761,0.4457,1.0
goe222,200000,0.1,10.0,1.7519,0.02867,0.02177,-0.1671,0.4212,1.0
goe222,200000,0.1,11.0,1.7756,0.03272,0.02601,-0.1563,0.3907,1.0
goe222,200000,0.1,12.0,1.766,0.03945,0.03296,-0.144,0.3502,1.0
goe222,200000,0.1,13.0,1.7617,0.04812,0.04172,-0.1353,0.3074,1.0
goe222,200000,0.1,14.0,1.7655,0.05726,0.05089,-0.1289,0.2743,1.0
goe222,200000,0.1,15.0,1.7755,0.0662,0.05988,-0.1238,0.2497,1.0
goe222,200000,0.1,16.0,1.7775,0.07664,0.07061,-0.1198,0.2279,1.0
goe222,200000,0.1,17.0,1.7695,0.08878,0.08298,-0.1171,0.2058,1.0
goe222,250000,0.1,0.0,0.9244,0.01601,0.00864,-0.2102,0.6978,0.4158
goe222,250000,0.1,1.0,1.0364,0.01574,0.00824,-0.2102,0.6708,0.4336
goe222,250000,0.1,2.0,1.1294,0.01551,0.00802,-0.2065,0.6321,0.4529
goe222,250000,0.1,3.0,1.2122,0.0157,0.0081,-0.201,0.583,0.4742
goe222,250000,0.1,4.0,1.2901,0.01659,0.00883,-0.195,0.5403,0.5003
goe222,250000,0.1,5.0,1.3792,0.01788,0.01012,-0.1917,0.5125,0.536
goe222,250000,0.1,6.0,1.4681,0.01927,0.0116,-0.1887,0.488,0.5906
goe222,250000,0.1,7.0,1.5536,0.02016,0.01323,-0.1849,0.4694,0.8399
goe222,250000,0.1,8.0,1.6322,0.0219,0.01498,-0.1805,0.4511,1.0
goe222,250000,0.1,9.0,1.6996,0.02415,0.01732,-0.1746,0.4307,1.0
goe222,250000,0.1,10.0,1.7429,0.02723,0.02067,-0.1657,0.408,1.0
goe222,250000,0.1,11.0,1.7612,0.03184,0.02545,-0.1548,0.3755,1.0
goe222,250000,0.1,12.0,1.7597,0.03925,0.03301,-0.1445,0.3308,1.0
goe222,250000,0.1,13.0,1.7572,0.04857,0.0423,-0.1366,0.2846,1.0
goe222,250000,0.1,14.0,1.7604,0.05799,0.05169,-0.1302,0.2539,1.0
goe222,250000,0.1,15.0,1.7705,0.06726,0.06114,-0.1254,0.232,1.0
goe222,250000,0.1,16.0,1.7734,0.07786,0.07203,-0.1217,0.2118,1.0
goe222,250000,0.1,17.0,1.7636,0.09069,0.08514,-0.1195,0.1907,1.0
goe222,300000,0.1,0.0,0.9388,0.01437,0.00713,-0.2125,0.6885,0.4037
goe222,300000,0.1,1.0,1.0396,0.01422,0.00699,-0.2103,0.6589,0.4203
goe222,300000,0.1,2.0,1.1338,0.0141,0.00682,-0.2069,0.6189,0.4385
goe222,300000,0.1,3.0,1.2094,0.01456,0.00714,-0.2001,0.5628,0.4583
goe222,300000,0.1,4.0,1.2854,0.01577,0.00815,-0.1939,0.5213,0.4829
goe222,300000,0.1,5.0,1.3734,0.0171,0.00952,-0.1905,0.4953,0.5163
goe222,300000,0.1,6.0,1.4584,0.01855,0.01109,-0.1869,0.473,0.5673
goe222,300000,0.1,7.0,1.5447,0.01988,0.01284,-0.1837,0.4556,0.6666
goe222,300000,0.1,8.0,1.6149,0.02119,0.01467,-0.1776,0.4387,1.0
goe222,300000,0.1,9.0,1.6817,0.02351,0.01708,-0.1718,0.4194,1.0
goe222,300000,0.1,10.0,1.7358,0.02646,0.02009,-0.1648,0.3966,1.0
goe222,300000,0.1,11.0,1.7515,0.0317,0.02553,-0.1542,0.3613,1.0
goe222,300000,0.1,12.0,1.7589,0.03934,0.03328,-0.1455,0.3111,1.0
goe222,300000,0.1,13.0,1.7547,0.04906,0.04288,-0.1376,0.2653,1.0
goe222,300000,0.1,14.0,1.7609,0.05834,0.0522,-0.1315,0.2391,1.0
goe222,300000,0.1,15.0,1.7693,0.06786,0.06186,-0.1267,0.2189,1.0
goe222,300000,0.1,16.0,1.7737,0.07856,0.07287,-0.1233,0.2,1.0
goe222,300000,0.1,17.0,1.7643,0.09163,0.08627,-0.1213,0.1774,1.0
goe223,200000,0.1,0.0,0.7203,0.01648,0.00825,-0.1558,0.5906,0.501
goe223,200000,0.1,1.0,0.8339,0.0168,0.00834,-0.1568,0.5703,0.5175
goe223,200000,0.1,2.0,0.9464,0.01727,0.00861,-0.1577,0.5493,0.5353
goe223,200000,0.1,3.0,1.0564,0.01785,0.0092,-0.1582,0.5315,0.5548
goe223,200000,0.1,4.0,1.1632,0.01852,0.01,-0.1581,0.5139,0.5782
goe223,200000,0.1,5.0,1.267,0.01927,0.01094,-0.1576,0.4966,0.609
goe223,200000,0.1,6.0,1.3622,0.02,0.01202,-0.1555,0.478,0.6488
goe223,200000,0.1,7.0,1.4465,0.02071,0.01322,-0.1517,0.4577,0.7089
goe223,200000,0.1,8.0,1.5075,0.02112,0.01444,-0.1436,0.4355,1.0
goe223,200000,0.1,9.0,1.5527,0.02332,0.01672,-0.1351,0.3986,1.0
goe223,200000,0.1,10.0,1.5693,0.02813,0.02145,-0.1251,0.3303,1.0
goe223,200000,0.1,11.0,1.555,0.03697,0.03,-0.1152,0.2675,1.0
goe223,200000,0.1,12.0,1.5515,0.04663,0.03969,-0.1087,0.2349,1.0
goe223,200000,0.1,13.0,1.548,0.05756,0.05074,-0.1043,0.208,1.0
goe223,200000,0.1,14.0,1.5413,0.07031,0.06374,-0.1023,0.1587,1.0
goe223,200000,0.1,15.0,1.4865,0.08959,0.08276,-0.1014,0.1176,1.0
goe223,200000,0.1,17.0,1.421,0.12522,0.11851,-0.1053,0.0313,1.0
goe223,250000,0.1,0.0,0.7242,0.01489,0.00677,-0.1566,0.5664,0.4834
goe223,250000,0.1,1.0,0.8368,0.0153,0.007,-0.1573,0.5468,0.4988
goe223,250000,0.1,2.0,0.9465,0.01572,0.00739,-0.1576,0.5268,0.5153
goe223,250000,0.1,3.0,1.0568,0.01628,0.00794,-0.1582,0.5114,0.5339
goe223,250000,0.1,4.0,1.1628,0.01683,0.00863,-0.1579,0.4945,0.556
goe223,250000,0.1,5.0,1.2647,0.01746,0.00946,-0.1569,0.4777,0.5851
goe223,250000,0.1,6.0,1.3579,0.0181,0.01042,-0.1545,0.459,0.6228
goe223,250000,0.1,7.0,1.4376,0.01883,0.01161,-0.1498,0.4376,0.6767
goe223,250000,0.1,8.0,1.5028,0.0199,0.0132,-0.1431,0.4103,0.7739
goe223,250000,0.1,9.0,1.5355,0.02268,0.01615,-0.1331,0.3484,1.0
goe223,250000,0.1,10.0,1.5265,0.03043,0.02343,-0.1219,0.2638,1.0
goe223,250000,0.1,11.0,1.5344,0.03848,0.03149,-0.1147,0.2312,1.0
goe223,250000,0.1,12.0,1.5433,0.04755,0.04067,-0.1096,0.2055,1.0
goe223,250000,0.1,13.0,1.5478,0.0582,0.05149,-0.1062,0.1615,1.0
goe223,250000,0.1,14.0,1.4968,0.07621,0.0693,-0.1035,0.1177,1.0
goe223,250000,0.1,15.0,1.4775,0.09121,0.08456,-0.1027,0.0978,1.0
goe223,250000,0.1,17.0,1.4254,0.12501,0.11849,-0.106,0.0236,1.0
goe223,300000,0.1,0.0,0.7248,0.01385,0.00596,-0.1568,0.5477,0.47
goe223,300000,0.1,1.0,0.8374,0.01424,0.00619,-0.1575,0.5297,0.4848
goe223,300000,0.1,2.0,0.9475,0.01469,0.00657,-0.1578,0.5114,0.5006
goe223,300000,0.1,3.0,1.0573,0.0152,0.00709,-0.1582,0.4965,0.5181
goe223,300000,0.1,4.0,1.1624,0.0157,0.00772,-0.1577,0.4798,0.5394
goe223,300000,0.1,5.0,1.262,0.01622,0.00846,-0.1563,0.463,0.5667
goe223,300000,0.1,6.0,1.3533,0.01683,0.0094,-0.1535,0.4436,0.6027
goe223,300000,0.1,7.0,1.4297,0.0177,0.01066,-0.1482,0.4188,0.6541
goe223,300000,0.1,8.0,1.4927,0.01938,0.01266,-0.1419,0.3751,0.7312
goe223,300000,0.1,9.0,1.4929,0.02473,0.01787,-0.1289,0.2737,1.0
goe223,300000,0.1,10.0,1.5091,0.03161,0.02461,-0.1211,0.2321,1.0
goe223,300000,0.1,11.0,1.5275,0.03912,0.03219,-0.1151,0.2075,1.0
goe223,300000,0.1,12.0,1.5464,0.04752,0.04073,-0.1108,0.1725,1.0
goe223,300000,0.1,13.0,1.5094,0.06286,0.05588,-0.1064,0.1204,1.0
goe223,300000,0.1,14.0,1.4838,0.07815,0.07138,-0.1044,0.1047,1.0
goe223,300000,0.1,15.0,1.4756,0.09189,0.08506,-0.1038,0.0443,1.0
goe223,300000,0.1,16.0,1.4415,0.10946,0.10278,-0.1044,0.0228,1.0
goe223,300000,0.1,17.0,1.428,0.12511,0.11885,-0.1068,0.0198,1.0
goe387,200000,0.1,0.0,0.5476,0.01518,0.00658,-0.1007,0.649,0.1073
goe387,200000,0.1,1.0,0.7544,0.01294,0.00656,-0.1198,0.6169,1.0
goe387,200000,0.1,2.0,0.8426,0.0134,0.00665,-0.1145,0.5847,1.0
goe387,200000,0.1,3.0,0.9296,0.01386,0.00678,-0.109,0.5487,1.0
goe387,200000,0.1,4.0,1.0145,0.01451,0.00714,-0.1034,0.5121,1.0
goe387,200000,0.1,5.0,1.0975,0.01542,0.00781,-0.0977,0.4782,1.0
goe387,200000,0.1,6.0,1.1793,0.0166,0.00885,-0.0921,0.4492,1.0
goe387,200000,0.1,7.0,1.2649,0.01795,0.01002,-0.0875,0.4249,1.0
goe387,200000,0.1,8.0,1.3402,0.01945,0.01162,-0.0814,0.4031,1.0
goe387,200000,0.1,9.0,1.4066,0.02105,0.01334,-0.074,0.382,1.0
goe387,200000,0.1,10.0,1.4604,0.02276,0.01514,-0.0649,0.3595,1.0
goe387,200000,0.1,11.0,1.4963,0.02507,0.01763,-0.0545,0.3332,1.0
goe387,200000,0.1,12.0,1.5276,0.02822,0.02084,-0.0456,0.3048,1.0
goe387,200000,0.1,13.0,1.5372,0.03335,0.02625,-0.037,0.2746,1.0
goe387,200000,0.1,14.0,1.5473,0.03989,0.03301,-0.0311,0.2467,1.0
goe387,200000,0.1,15.0,1.5561,0.04763,0.04096,-0.027,0.2228,1.0
goe387,200000,0.1,16.0,1.5583,0.05679,0.05023,-0.0242,0.1997,1.0
goe387,200000,0.1,17.0,1.547,0.06831,0.06199,-0.0231,0.1766,1.0
goe387,250000,0.1,0.0,0.5523,0.01388,0.00535,-0.1005,0.6327,0.0721
goe387,250000,0.1,2.0,0.8473,0.01186,0.00551,-0.1149,0.5689,1.0
goe387,250000,0.1,3.0,0.9325,0.01232,0.00567,-0.1091,0.532,1.0
goe387,250000,0.1,4.0,1.015,0.01301,0.00606,-0.103,0.4938,1.0
goe387,250000,0.1,5.0,1.0956,0.01398,0.00677,-0.0969,0.4596,1.0
goe387,250000,0.1,6.0,1.1746,0.0151,0.00778,-0.0907,0.4312,1.0
goe387,250000,0.1,7.0,1.2555,0.01641,0.00892,-0.0853,0.4079,1.0
goe387,250000,0.1,8.0,1.3262,0.01775,0.01032,-0.0782,0.3872,1.0
goe387,250000,0.1,9.0,1.3902,0.01923,0.01191,-0.0703,0.3681,1.0
goe387,250000,0.1,10.0,1.4404,0.021,0.01382,-0.0612,0.3452,1.0
goe387,250000,0.1,11.0,1.4859,0.02343,0.01631,-0.0528,0.3203,1.0
goe387,250000,0.1,12.0,1.5141,0.02711,0.02026,-0.0444,0.2925,1.0
goe387,250000,0.1,13.0,1.5323,0.0325,0.0258,-0.0375,0.2604,1.0
goe387,250000,0.1,14.0,1.5457,0.03937,0.0328,-0.0324,0.2314,1.0
goe387,250000,0.1,15.0,1.5541,0.04763,0.04122,-0.0287,0.2067,1.0
goe387,250000,0.1,16.0,1.555,0.0573,0.05099,-0.0262,0.1851,1.0
goe387,250000,0.1,17.0,1.5482,0.06865,0.06261,-0.0252,0.1645,1.0
goe387,300000,0.1,0.0,0.5507,0.01293,0.00469,-0.0996,0.6194,0.0618
goe387,300000,0.1,1.0,0.6317,0.01113,0.00464,-0.0933,0.5946,0.6184
goe387,300000,0.1,2.0,0.85,0.01086,0.00481,-0.1151,0.5562,1.0
goe387,300000,0.1,3.0,0.9344,0.01134,0.00502,-0.1092,0.5185,1.0
goe387,300000,0.1,4.0,1.0146,0.01207,0.00545,-0.1027,0.4781,1.0
goe387,300000,0.1,5.0,1.0935,0.01304,0.00618,-0.0962,0.4446,1.0
goe387,300000,0.1,6.0,1.1709,0.01413,0.00714,-0.0898,0.4174,1.0
goe387,300000,0.1,7.0,1.2443,0.01532,0.00826,-0.0828,0.3948,1.0
goe387,300000,0.1,8.0,1.3119,0.01661,0.00951,-0.0751,0.3752,1.0
goe387,300000,0.1,9.0,1.38,0.01809,0.01105,-0.0682,0.3568,1.0
goe387,300000,0.1,10.0,1.4318,0.01994,0.01307,-0.0597,0.3341,1.0
goe387,300000,0.1,11.0,1.4781,0.02251,0.0158,-0.052,0.3098,1.0
goe387,300000,0.1,12.0,1.5143,0.02627,0.01974,-0.0449,0.2817,1.0
goe387,300000,0.1,13.0,1.5354,0.03188,0.02546,-0.0387,0.2475,1.0
goe387,300000,0.1,14.0,1.5469,0.03922,0.03286,-0.0337,0.2172,1.0
goe387,300000,0.1,15.0,1.5556,0.04767,0.04144,-0.0302,0.1939,1.0
goe387,300000,0.1,16.0,1.5546,0.05766,0.0515,-0.0277,0.1736,1.0
goe387,300000,0.1,17.0,1.552,0.06871,0.06285,-0.0269,0.1557,1.0
goe398,200000,0.1,0.0,0.638,0.01143,0.00549,-0.1185,0.6951,1.0
goe398,200000,0.1,1.0,0.7238,0.01166,0.00528,-0.1124,0.6487,1.0
goe398,200000,0.1,2.0,0.8082,0.01211,0.00531,-0.1061,0.5945,1.0
goe398,200000,0.1,3.0,0.8911,0.01279,0.00563,-0.0997,0.5417,1.0
goe398,200000,0.1,4.0,0.9734,0.01369,0.00627,-0.0935,0.4957,1.0
goe398,200000,0.1,5.0,1.058,0.01489,0.00717,-0.088,0.4574,1.0
goe398,200000,0.1,6.0,1.1405,0.01628,0.00842,-0.0825,0.4214,1.0
goe398,200000,0.1,7.0,1.2164,0.01777,0.00986,-0.076,0.3861,1.0
goe398,200000,0.1,8.0,1.2754,0.01923,0.01137,-0.0665,0.3499,1.0
goe398,200000,0.1,9.0,1.3199,0.02087,0.01306,-0.0551,0.3159,1.0
goe398,200000,0.1,10.0,1.3706,0.02307,0.01527,-0.0462,0.2865,1.0
goe398,200000,0.1,11.0,1.4176,0.02582,0.01829,-0.0383,0.2617,1.0
goe398,200000,0.1,12.0,1.4603,0.02926,0.02185,-0.0313,0.2386,1.0
goe398,200000,0.1,13.0,1.4858,0.03401,0.02701,-0.0245,0.2146,1.0
goe398,200000,0.1,14.0,1.4919,0.04113,0.03448,-0.0191,0.184,1.0
goe398,200000,0.1,15.0,1.4585,0.05409,0.0476,-0.0163,0.1298,1.0
goe398,200000,0.1,16.0,1.4047,0.07188,0.06538,-0.017,0.0972,1.0
goe398,200000,0.1,17.0,1.3733,0.08816,0.08182,-0.0191,0.0854,1.0
goe398,250000,0.1,0.0,0.6438,0.01019,0.0046,-0.119,0.6758,1.0
goe398,250000,0.1,1.0,0.7282,0.01046,0.00443,-0.1128,0.6293,1.0
goe398,250000,0.1,2.0,0.8097,0.01093,0.00453,-0.1061,0.5728,1.0
goe398,250000,0.1,3.0,0.8904,0.01163,0.0049,-0.0993,0.5177,1.0
goe398,250000,0.1,4.0,0.9723,0.01261,0.00553,-0.0931,0.4747,1.0
goe398,250000,0.1,5.0,1.0546,0.01376,0.00646,-0.0872,0.4382,1.0
goe398,250000,0.1,6.0,1.1347,0.01498,0.00759,-0.0812,0.4054,1.0
goe398,250000,0.1,7.0,1.2054,0.01622,0.00884,-0.0735,0.3719,1.0
goe398,250000,0.1,8.0,1.2567,0.01756,0.01015,-0.0625,0.3359,1.0
goe398,250000,0.1,9.0,1.3073,0.01933,0.01194,-0.0527,0.3012,1.0
goe398,250000,0.1,10.0,1.3582,0.02172,0.01434,-0.0444,0.2711,1.0
goe398,250000,0.1,11.0,1.4104,0.02454,0.01738,-0.0376,0.2472,1.0
goe398,250000,0.1,12.0,1.4524,0.02828,0.02121,-0.0311,0.2242,1.0
goe398,250000,0.1,13.0,1.4856,0.03302,0.02633,-0.0255,0.2,1.0
goe398,250000,0.1,14.0,1.4932,0.04065,0.03417,-0.0206,0.1643,1.0
goe398,250000,0.1,15.0,1.4532,0.05487,0.04831,-0.018,0.1007,1.0
goe398,250000,0.1,16.0,1.4053,0.07216,0.06574,-0.0186,0.0833,1.0
goe398,250000,0.1,17.0,1.3784,0.08795,0.0818,-0.0206,0.0753,1.0
goe398,300000,0.1,0.0,0.6366,0.00941,0.00407,-0.1171,0.6612,0.997
goe398,300000,0.1,1.0,0.7298,0.00966,0.00394,-0.113,0.6127,1.0
goe398,300000,0.1,2.0,0.8106,0.01015,0.00406,-0.1061,0.5546,1.0
goe398,300000,0.1,3.0,0.8903,0.0109,0.00445,-0.0992,0.4984,1.0
goe398,300000,0.1,4.0,0.9714,0.01189,0.00512,-0.0929,0.4577,1.0
goe398,300000,0.1,5.0,1.0529,0.01294,0.006,-0.0868,0.4241,1.0
goe398,300000,0.1,6.0,1.1316,0.014,0.00703,-0.0804,0.3933,1.0
goe398,300000,0.1,7.0,1.1993,0.01514,0.00816,-0.0721,0.3608,1.0
goe398,300000,0.1,8.0,1.2517,0.01643,0.00942,-0.0614,0.3234,1.0
goe398,300000,0.1,9.0,1.3053,0.0183,0.01125,-0.0523,0.2884,1.0
goe398,300000,0.1,10.0,1.3588,0.02071,0.0137,-0.0446,0.2586,1.0
goe398,300000,0.1,11.0,1.4111,0.02366,0.01677,-0.038,0.2356,1.0
goe398,300000,0.1,12.0,1.4558,0.02737,0.02065,-0.032,0.2125,1.0
goe398,300000,0.1,13.0,1.4915,0.03218,0.02572,-0.0267,0.1872,1.0
goe398,300000,0.1,14.0,1.4985,0.0402,0.03383,-0.022,0.1395,1.0
goe398,300000,0.1,15.0,1.4494,0.05543,0.04889,-0.019,0.0852,1.0
goe398,300000,0.1,16.0,1.4111,0.07169,0.06541,-0.0195,0.0747,1.0
goe398,300000,0.1,17.0,1.3855,0.0874,0.08143,-0.0216,0.0684,1.0
hs1404,200000,0.1,0.0,0.3272,0.00984,0.00436,-0.081,0.985,1.0
hs1404,200000,0.1,1.0,0.4949,0.00973,0.00415,-0.0928,0.9575,1.0
hs1404,200000,0.1,2.0,0.6314,0.00951,0.00419,-0.0969,0.9228,1.0
hs1404,200000,0.1,3.0,0.7276,0.00878,0.00361,-0.0881,0.7993,1.0
hs1404,200000,0.1,4.0,0.7936,0.01455,0.00595,-0.0784,0.0702,1.0
hs1404,200000,0.1,5.0,0.8853,0.02141,0.01306,-0.0736,0.0332,1.0
hs1404,200000,0.1,6.0,0.9783,0.03061,0.02353,-0.0687,0.0122,1.0
hs1404,250000,0.1,0.0,0.3808,0.00824,0.0033,-0.0909,0.9677,1.0
hs1404,250000,0.1,1.0,0.522,0.00804,0.00305,-0.0966,0.9409,1.0
hs1404,250000,0.1,2.0,0.6335,0.00794,0.00309,-0.0947,0.8969,1.0
hs1404,250000,0.1,3.0,0.7249,0.00789,0.00296,-0.0867,0.7555,1.0
hs1404,250000,0.1,4.0,0.7965,0.01386,0.00565,-0.0793,0.0583,1.0
hs1404,250000,0.1,5.0,0.8902,0.01871,0.01082,-0.0753,0.0238,1.0
hs1404,250000,0.1,6.0,0.9821,0.02988,0.02341,-0.0692,0.0096,1.0
hs1404,300000,0.1,0.0,0.4079,0.00702,0.00248,-0.0954,0.9564,1.0
hs1404,300000,0.1,1.0,0.5252,0.00701,0.00241,-0.0957,0.9241,1.0
hs1404,300000,0.1,2.0,0.6281,0.00705,0.00248,-0.092,0.8725,1.0
hs1404,300000,0.1,3.0,0.7234,0.00735,0.00257,-0.0859,0.7157,1.0
hs1404,300000,0.1,4.0,0.7998,0.01311,0.00526,-0.0801,0.0515,1.0
