perfil,Re,Mach,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,DeltaTE_upper,DeltaTE_lower,RMSE_upper,RMSE_lower,MaxError_upper,MaxError_lower
2032c,300000,0.1,7.0,1.4438,0.01655,0.00857,-0.1232,0.2179,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,300000,0.1,8.0,1.4949,0.02309,0.01432,-0.1154,0.018,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,300000,0.1,9.0,1.5175,0.02963,0.02172,-0.1037,0.0144,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,300000,0.1,10.0,1.4888,0.04138,0.0341,-0.0946,0.0142,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,300000,0.1,11.0,1.4611,0.05737,0.0506,-0.0936,0.0145,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,300000,0.1,12.0,1.4504,0.07048,0.06395,-0.0899,0.0145,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
a18,200000,0.1,0.0,0.6005,0.00968,0.00428,-0.1242,0.8942,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,200000,0.1,1.0,0.713,0.00948,0.00392,-0.1223,0.8282,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,200000,0.1,2.0,0.8216,0.0099,0.00418,-0.1201,0.7512,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,200000,0.1,3.0,0.926,0.01068,0.00486,-0.1175,0.6556,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,200000,0.1,4.0,1.0202,0.01218,0.00588,-0.1132,0.4849,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,200000,0.1,5.0,1.0911,0.01663,0.00854,-0.1068,0.1355,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,200000,0.1,6.0,1.1554,0.02294,0.01438,-0.0984,0.029,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,200000,0.1,7.0,1.2311,0.03074,0.02253,-0.092,0.023,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,250000,0.1,0.0,0.6035,0.00822,0.00327,-0.123,0.8703,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,250000,0.1,1.0,0.7137,0.00839,0.00318,-0.1212,0.8004,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,250000,0.1,2.0,0.8215,0.00898,0.00356,-0.1194,0.72,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,250000,0.1,3.0,0.9252,0.00988,0.00422,-0.117,0.6117,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,250000,0.1,4.0,1.0166,0.01186,0.00536,-0.1128,0.4042,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,250000,0.1,5.0,1.0904,0.01665,0.00832,-0.1074,0.0593,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,250000,0.1,6.0,1.161,0.02215,0.01391,-0.0999,0.0236,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,250000,0.1,7.0,1.2389,0.02846,0.02076,-0.0935,0.0194,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,250000,0.1,8.0,1.3105,0.04031,0.034,-0.0861,0.0193,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,300000,0.1,0.0,0.6041,0.00737,0.00271,-0.1222,0.8493,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,300000,0.1,1.0,0.7135,0.00772,0.00276,-0.1206,0.776,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,300000,0.1,2.0,0.8214,0.0084,0.00318,-0.119,0.6937,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,300000,0.1,3.0,0.9245,0.00942,0.00385,-0.1168,0.5759,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,300000,0.1,4.0,1.0164,0.01161,0.00513,-0.1131,0.3411,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,300000,0.1,5.0,1.0929,0.01637,0.0082,-0.108,0.0378,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,300000,0.1,6.0,1.1715,0.02078,0.0129,-0.1018,0.0206,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,300000,0.1,7.0,1.2442,0.02689,0.01948,-0.0949,0.0164,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18,300000,0.1,8.0,1.3122,0.03854,0.03221,-0.0879,0.0151,1.0,0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18sm,200000,0.1,0.0,0.4705,0.0105,0.00527,-0.1199,0.9331,1.0,0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,0.0001826065,0.0002048767,0.0007369377,0.001163357
a18sm,200000,0.1,1.0,0.6053,0.00992,0.0045,-0.1231,0.8959,1.0,0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,0.0001826065,0.0002048767,0.0007369377,0.001163357
a18sm,200000,0.1,2.0,0.7221,0.00974,0.00421,-0.1222,0.8421,1.0,0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,0.0001826065,0.0002048767,0.0007369377,0.001163357
a18sm,200000,0.1,3.0,0.8277,0.00996,0.00421,-0.1185,0.7524,1.0,0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,0.0001826065,0.0002048767,0.0007369377,0.001163357
a18sm,200000,0.1,4.0,0.9321,0.01076,0.00485,-0.1156,0.6617,1.0,0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,0.0001826065,0.0002048767,0.0007369377,0.001163357
a18sm,200000,0.1,5.0,1.0267,0.0121,0.00579,-0.1108,0.5026,1.0,0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,0.0001826065,0.0002048767,0.0007369377,0.001163357
a18sm,200000,0.1,6.0,1.091,0.0172,0.00877,-0.103,0.1081,1.0,0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,0.0001826065,0.0002048767,0.0007369377,0.001163357
