perfil,condicoes_existentes,condicoes_teoricas,cobertura,cobertura_pct
rg14,39,39,1.0,100.0
rg15,39,39,1.0,100.0
rg8,36,39,0.9230769230769231,92.3076923076923
s1010,34,39,0.8717948717948718,87.17948717948718
s1012,39,39,1.0,100.0
s1014,36,39,0.9230769230769231,92.3076923076923
s1016,36,39,0.9230769230769231,92.3076923076923
s1020,39,39,1.0,100.0
s102b,39,39,1.0,100.0
s102s,39,39,1.0,100.0
s1046,36,39,0.9230769230769231,92.3076923076923
s1091,26,39,0.6666666666666666,66.66666666666666
s1210,39,39,1.0,100.0
s1221,39,39,1.0,100.0
s1223,39,39,1.0,100.0
s2027,39,39,1.0,100.0
s2048,39,39,1.0,100.0
s2091,39,39,1.0,100.0
s3021,39,39,1.0,100.0
s4061,39,39,1.0,100.0
s4094,39,39,1.0,100.0
s4095,39,39,1.0,100.0
s4096,39,39,1.0,100.0
s4110,39,39,1.0,100.0
s4158,39,39,1.0,100.0
s4180,39,39,1.0,100.0
s8064,38,39,0.9743589743589743,97.43589743589743
s8065,38,39,0.9743589743589743,97.43589743589743
s8066,34,39,0.8717948717948718,87.17948717948718
sa7024,37,39,0.9487179487179487,94.87179487179486
sa7026,39,39,1.0,100.0
sa7035,38,39,0.9743589743589743,97.43589743589743
sa7036,38,39,0.9743589743589743,97.43589743589743
sa7038,38,39,0.9743589743589743,97.43589743589743
sd2030,38,39,0.9743589743589743,97.43589743589743
sd7003,38,39,0.9743589743589743,97.43589743589743
sd7032,38,39,0.9743589743589743,97.43589743589743
sd7037,39,39,1.0,100.0
sd7062,39,39,1.0,100.0
sd7080,39,39,1.0,100.0
sd8020,38,39,0.9743589743589743,97.43589743589743
sd8040,39,39,1.0,100.0
sg6040,39,39,1.0,100.0
sg6041,38,39,0.9743589743589743,97.43589743589743
sg6042,39,39,1.0,100.0
sg6043,39,39,1.0,100.0
sg6050,38,39,0.9743589743589743,97.43589743589743
sg6051,39,39,1.0,100.0
usa35b,39,39,1.0,100.0
usa45,39,39,1.0,100.0
w1011,39,39,1.0,100.0
w1015,39,39,1.0,100.0
