airfoil_id,arquivo_original,formato_dat,arquivo_cst,ordem_cst,chord_original,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,DeltaTE_upper,DeltaTE_lower,RMSE_upper,RMSE_lower,MaxError_upper,MaxError_lower
s4096,s4096.dat,selig,s4096_cst.dat,6,1.0015901408,0.1702012009,0.2612278387,0.0959383770,0.3092247895,0.0654498575,0.2102106020,0.1181209585,-0.1114610568,-0.0837833649,-0.0886372893,-0.0486550815,-0.0577074658,-0.0567785586,-0.0191191436,0.0000000000,-0.0620349569,0.0002881872,0.0001379920,0.0011856920,0.0005063413
s4110,s4110.dat,selig,s4110_cst.dat,6,0.9996501472,0.1669760744,0.2024433066,0.1480792805,0.2274316819,0.1773078749,0.2000486633,0.1919649992,-0.1036144363,-0.0149497007,-0.0596724626,0.0077201053,-0.0000178759,0.0109448459,0.0745454584,0.0000000000,0.0000000000,0.0002851834,0.0001515237,0.0014981569,0.0005544485
s4158,s4158.dat,selig,s4158_cst.dat,6,0.9996376861,0.1740984092,0.2289868982,0.2507196666,0.1829217419,0.3649668936,0.2449646675,0.0689835506,-0.0971379846,-0.0267125144,-0.0932731225,0.0149659491,-0.0756129657,0.0084929194,-0.0372911262,-0.0000000000,-0.0000000000,0.0003452279,0.0001940286,0.0015357224,0.0007728254
s4180,s4180.dat,selig,s4180_cst.dat,6,0.9994686616,0.2133986472,0.2581967103,0.2316186542,0.2387807348,0.1888366460,0.2108662555,0.1232086079,-0.1293705523,0.0565562370,-0.1186837491,0.1183834348,-0.0484662493,0.0617582915,0.0882029718,-0.0000000041,0.0000000041,0.0005129331,0.0006641075,0.0028117984,0.0028117984
s8064,s8064.dat,selig,s8064_cst.dat,6,0.9995690710,0.1439811068,0.1775884859,0.1749707839,0.2186617526,0.1798483382,0.3251686444,0.0631791637,-0.1143785579,-0.1360654169,-0.1254286160,-0.1231247178,-0.1805798906,-0.0982123603,-0.0749499846,0.0000000000,0.0000000000,0.0003363407,0.0003024746,0.0015349559,0.0015349559
s8065,s8065.dat,selig,s8065_cst.dat,6,0.9995731822,0.1356723551,0.1631643200,0.1576154731,0.2019060984,0.1600803458,0.2768654181,0.0682731055,-0.1070612056,-0.1195786402,-0.1081131690,-0.1127074742,-0.1400373123,-0.0854769118,-0.0631624805,0.0000000000,-0.0000000000,0.0002929229,0.0002720409,0.0014317109,0.0014317109
s8066,s8066.dat,selig,s8066_cst.dat,6,0.9985844426,0.1310310789,0.1424893832,0.1491194485,0.1701616318,0.1536411476,0.2116976261,0.0898180503,-0.1008572623,-0.1153110978,-0.0963966214,-0.1119326064,-0.1213106763,-0.0811278559,-0.0424179388,-0.0000447968,-0.0000447968,0.0003360277,0.0002662209,0.0016047313,0.0013563986
sa7024,sa7024.dat,selig,sa7024_cst.dat,6,0.9982850105,0.1346684313,0.2170934987,0.1097685837,0.2273318548,0.1415386393,0.1733036687,0.2085214916,-0.0736180101,0.0036534107,-0.0433616959,0.0453944030,0.0190139068,0.0260623033,0.0855353232,-0.0001253464,-0.0001253464,0.0001927492,0.0002697666,0.0006957547,0.0014719910
sa7026,sa7026.dat,selig,sa7026_cst.dat,6,0.9982425075,0.1400391836,0.2683042040,0.1163110046,0.3293645154,0.1383934133,0.3211957607,0.1560143751,-0.0839722897,-0.0097035290,-0.0635117477,0.0393985357,-0.0225785833,0.0380674657,0.0477014913,-0.0000975552,-0.0000975552,0.0002314745,0.0003462581,0.0008516447,0.0020083213
sa7035,sa7035.dat,selig,sa7035_cst.dat,6,0.9985001350,0.1528463758,0.2398106990,0.1066258821,0.2803411335,0.0851000242,0.2574630553,0.1162210734,-0.0803289356,-0.0705298094,-0.0310964607,-0.0762592830,0.0069191413,-0.0440852716,0.0364207844,-0.0000730932,-0.0000730932,0.0002770585,0.0002258221,0.0013453041,0.0013453041
sa7036,sa7036.dat,selig,sa7036_cst.dat,6,0.9985400094,0.1523173512,0.2523346354,0.0972665106,0.3028446933,0.0776831851,0.2740072093,0.1220429501,-0.0875183605,-0.0514821398,-0.0500851634,-0.0413904053,-0.0072894126,-0.0256474906,0.0416981482,-0.0000802444,-0.0000802444,0.0003100721,0.0002713352,0.0014854692,0.0014854692
sa7038,sa7038.dat,selig,sa7038_cst.dat,6,0.9982127912,0.1689667657,0.2489477834,0.1316937166,0.2896002790,0.1125207160,0.2826491348,0.1430914478,-0.0872795220,-0.0309699432,-0.0553391422,-0.0048269313,-0.0075446739,-0.0014056609,0.0584270984,-0.0000958798,-0.0000958798,0.0001849751,0.0002382990,0.0008520620,0.0012816841
sd2030,sd2030.dat,selig,sd2030_cst.dat,6,1.0000050144,0.1367463865,0.1983246499,0.0962460263,0.2556940681,0.1193264259,0.2540550833,0.1766995035,-0.0955822456,-0.0332797983,-0.0854252116,-0.0217798350,-0.0572585762,-0.0726353758,0.0325528832,-0.0000000008,0.0000000008,0.0002253895,0.0001166175,0.0008804583,0.0004668858
sd7003,sd7003.dat,selig,sd7003_cst.dat,6,0.9994150242,0.1499161787,0.1907848184,0.0917955825,0.1899426308,0.0820932302,0.1306343232,0.1100807814,-0.1183140334,-0.0624849813,-0.0882517639,-0.0387779676,-0.0620683256,-0.0324985366,0.0258236941,-0.0000000011,0.0000000011,0.0003962314,0.0003879609,0.0020812923,0.0020812923
sd7032,sd7032.dat,selig,sd7032_cst.dat,6,0.9993633334,0.1809286698,0.2783512010,0.1429710850,0.3137317173,0.1302860956,0.2986687848,0.1499326491,-0.0942671313,-0.0220583033,-0.0708571957,0.0179823670,-0.0321438560,0.0306419744,0.0857405609,0.0000000000,0.0000000000,0.0004189633,0.0004461561,0.0022380933,0.0022380933
