perfil,RMSE_upper,RMSE_lower,MaxError_upper,MaxError_lower
e212,0.0004160362,0.000449846,0.0020745695,0.0020745695
e214,0.0002316362,6.34479e-05,0.0007129621,0.0001391233
e216,0.0004669936,0.0005260195,0.002077766,0.002077766
e220,0.0003963825,0.0004099769,0.0020815212,0.0020815212
e221,0.0004127416,0.000358383,0.0018978676,0.0018978676
e224,0.0004037381,0.0003774686,0.0020051358,0.0020051358
e228,0.0002028742,0.0001242164,0.000848457,0.000356895
e230,0.000430749,0.0003795396,0.0019545345,0.0019545345
e231,0.0002983491,0.000103607,0.0012524125,0.0002911367
e374,0.0003947215,0.00037189,0.0019350568,0.0019350568
e376,0.0005177333,0.0008028886,0.001868423,0.0027769005
e377,0.000491664,0.0006079234,0.0019480674,0.0019480674
e387,0.0003883035,0.0004818392,0.0017342724,0.0018592577
e423,0.0011711091,0.0005165865,0.0064197071,0.0011595338
e431,0.0007532367,0.0002994153,0.0035405166,0.0014183268
fx60100,0.000192562,0.0002032691,0.0009364512,0.0009476829
fx60126,0.0002163136,0.0002274212,0.0009364512,0.0011594712
fx61140,0.0003418237,0.0003358059,0.0007800265,0.0007661114
fx63110,0.0002173492,0.000298041,0.0006884273,0.0005967553
fx63137,0.0003970109,0.000375666,0.0016725175,0.0016725175
fx63158,0.0005240628,0.0005869241,0.001552281,0.0016336272
fx66s196,0.0003469705,0.0003685681,0.0012174841,0.0012361678
fx67k170,0.0002794637,0.0002813176,0.0010917079,0.0010917079
fx68h120,0.0007697174,0.0002733806,0.0020731888,0.0006338616
fx69h083,0.0002399135,9.93966e-05,0.0006145408,0.0002123587
fx71l150,0.0007768306,0.0007768306,0.003578337,0.003578337
fx73cl2152,0.0005631358,0.0006657838,0.0016032414,0.0026703073
fx74cl5140,0.0007814809,0.0009267304,0.0017551198,0.0034092094
fx76mp160,0.000529363,0.0003622652,0.0013135417,0.0018708236
fx77w153,0.0004690589,0.000520635,0.0012972658,0.0020935383
fx78k140,0.0003977398,0.0002929655,0.0009502504,0.000941544
goe222,0.0004897056,0.0002643593,0.0010565399,0.0005798958
goe223,0.0009558822,0.0002480192,0.0018248311,0.0004353754
goe387,0.0002302783,0.0005635101,0.0005567544,0.0015390037
goe398,0.0005459501,0.0001940131,0.001436535,0.0004231943
hs1404,0.0001675459,0.0002535035,0.0010923775,0.0013231792
hs1430,0.001535981,0.001646704,0.0090555526,0.0089720717
hs1606,0.0002755166,0.0003579997,0.0017037982,0.001932495
hs1620,0.0009535133,0.0011731294,0.0058829701,0.0061426861
hs1708,0.0003821162,0.0004860706,0.0024394953,0.0025772627
hs1712,0.0005438115,0.0008240063,0.0032046341,0.0038360499
jx-gs-04,0.0001577412,0.0002371141,0.0005337432,0.0015034948
jx-gs-06,0.0001391925,0.0002089384,0.0005158965,0.0014002065
jx-gs-10,0.0001034492,0.000115944,0.0004349476,0.0008505317
jx-gs-15,0.0001671232,0.0001607372,0.0006131833,0.0011052507
kc135winglet,0.0003238597,0.0005217695,0.0014507178,0.00221892
l1003,0.0019022741,0.0006234859,0.0041787989,0.0017148014
la5055,0.0008701837,0.0006304699,0.0017225574,0.0012221264
lrn1015,0.0010474134,0.0007916319,0.0051981885,0.0037825057
mh114,0.0004818122,0.0005769133,0.0022142794,0.0020438267
mh20,0.000222532,0.0001677509,0.0006895301,0.0006344982
mh22,0.0001837182,0.0001798882,0.0005132771,0.0008012389
mh24,0.0001439328,0.0002565915,0.0004124827,0.001174515
mh26,0.0002001947,0.0003026894,0.0005420139,0.0013187156
mh27,0.0002287746,0.000330338,0.0006023948,0.0013884477
mh30,0.0002049184,0.0002145662,0.0006713393,0.0011440211
mh32,0.0002399273,0.0002769176,0.0007023839,0.001273339
mh33,0.0002005689,0.0002042032,0.0009289652,0.0010318228
mh43,0.0002058837,0.0002326663,0.0007104045,0.0011981582
mh44,0.000420833,0.0003201314,0.0022319192,0.0013639305
mh45,0.0002406711,0.0002855265,0.0010157103,0.001124692
mh60,0.0003004506,0.0003627796,0.0013702764,0.0017088337
mh61,0.0002329159,0.0001935346,0.0007697756,0.0006886268
mh70,0.0005173326,0.0002401096,0.0026737365,0.0010223552
mh91,0.0004800837,0.0005631949,0.0021349793,0.0022924254
naca0008,2.17922e-05,2.17922e-05,5.7258e-05,5.7258e-05
naca0010,2.58714e-05,2.58714e-05,6.93878e-05,6.93878e-05
naca0015,3.75378e-05,3.75378e-05,9.88651e-05,9.88651e-05
naca0018,4.48191e-05,4.48191e-05,0.0001195471,0.0001195471
naca1408,1.68243e-05,3.49833e-05,4.57496e-05,7.46879e-05
naca1410,3.00738e-05,0.0001638707,9.32155e-05,0.0004754198
naca1412,4.79666e-05,2.47871e-05,0.000149145,4.10672e-05
naca23012,0.0009923152,0.0006219147,0.0044536638,0.003186953
naca23015,0.0003296431,0.0001736001,0.0009493804,0.0005151435
naca2408,7.77087e-05,5.47588e-05,0.000246387,0.000102123
naca2410,3.92956e-05,4.5924e-05,0.0001211416,8.28491e-05
naca2412,5.57931e-05,6.34771e-05,0.0001153528,0.0001278097
naca2415,0.0001257904,6.42921e-05,0.0003524598,0.0001177743
naca2421,0.0002694225,0.0001560641,0.0007831369,0.0004670298
naca4412,8.90711e-05,8.3426e-05,0.000247056,0.0001760298
naca4415,0.0002542321,0.0004193084,0.0014362062,0.0024867437
naca4421,0.0004791464,0.0001979262,0.0014970713,0.0005587653
npl9510,0.0006741093,0.0005878914,0.0023954391,0.0020893778
rae2822,0.0001500314,0.0001535486,0.0009306068,0.0008880123
raf15,0.0002017352,0.0002355907,0.0004762985,0.0004097728
raf19,0.0010123094,0.000787153,0.0027585067,0.0017207933
rg14,0.0002506698,0.000253887,0.0006814963,0.0013232694
rg15,0.0002311617,9.65411e-05,0.000889703,0.0002096773
rg8,0.0002657137,5.77495e-05,0.0010199547,0.0001161355
s1010,0.0001714796,0.0001714796,0.0005647683,0.0005647683
s1012,0.0002271616,0.0002271616,0.0005162574,0.0005162574
s1014,0.0003738685,0.0003738685,0.0008264984,0.0008264984
s1016,0.0004370833,0.0004370833,0.0010082489,0.0010082489
s1020,0.0004796325,0.0002685132,0.0018371609,0.0012695755
s102b,0.0004603607,0.0003645174,0.0023048228,0.0009306501
s102s,0.0004829056,0.000363902,0.0023045313,0.0009235282
s1046,0.0002625256,0.0002625256,0.0009649841,0.0009649841
s1091,0.0003026568,0.000613985,0.0011715067,0.0022786227
s1210,0.0008363608,0.0009488198,0.0020754471,0.0034040646
s1221,0.0004608167,0.0006712496,0.002234233,0.002234233
s1223,0.0007109137,0.001610505,0.0019291964,0.0058588972
s2027,0.0003189928,0.0001391352,0.0012998022,0.0006282136
s2048,0.0001557927,5.79581e-05,0.0005288299,0.0001120758
s2091,0.0006094937,0.0004533789,0.0025482359,0.0023781308
s3021,0.0003354604,0.0003493001,0.0017550004,0.0017550004
s4061,0.0004232938,0.0005858296,0.0020110446,0.0024022004
s4094,0.0003095421,0.0001292207,0.0012682148,0.00052974
s4095,0.0003101131,0.0001618734,0.0012766383,0.0006393139
s4096,0.0002881872,0.000137992,0.001185692,0.0005063413
s4110,0.0002851834,0.0001515237,0.0014981569,0.0005544485
s4158,0.0003452279,0.0001940286,0.0015357224,0.0007728254
s4180,0.0005129331,0.0006641075,0.0028117984,0.0028117984
s8064,0.0003363407,0.0003024746,0.0015349559,0.0015349559
s8065,0.0002929229,0.0002720409,0.0014317109,0.0014317109
s8066,0.0003360277,0.0002662209,0.0016047313,0.0013563986
sa7024,0.0001927492,0.0002697666,0.0006957547,0.001471991
sa7026,0.0002314745,0.0003462581,0.0008516447,0.0020083213
sa7035,0.0002770585,0.0002258221,0.0013453041,0.0013453041
sa7036,0.0003100721,0.0002713352,0.0014854692,0.0014854692
sa7038,0.0001849751,0.000238299,0.000852062,0.0012816841
sd2030,0.0002253895,0.0001166175,0.0008804583,0.0004668858
sd7003,0.0003962314,0.0003879609,0.0020812923,0.0020812923
sd7032,0.0004189633,0.0004461561,0.0022380933,0.0022380933
sd7037,0.0003720662,0.0004366449,0.0019277797,0.0019277797
sd7062,0.0006377187,0.0007847226,0.0034618424,0.0034618424
sd7080,0.0003013985,0.0001724743,0.0012667746,0.0008077128
sd8020,0.0001637305,0.000164191,0.0005365843,0.0005350889
sd8040,0.0004656298,0.0004770926,0.0022785626,0.0022785626
sg6040,0.0004105245,0.0004260734,0.0023909605,0.0023909605
sg6041,0.0002906988,0.0004379496,0.0015469889,0.0020889084
sg6042,0.0002186783,0.0006859033,0.0007139656,0.0028494082
sg6043,0.0001923211,0.000969973,0.0006015311,0.0048495039
sg6050,0.0006435277,0.0004846285,0.0035206097,0.0020943402
sg6051,0.000352751,0.0002962353,0.0016107304,0.0016107304
usa35b,0.0002494331,0.0002995622,0.0004199783,0.0006826325
usa45,0.0006101614,0.000115463,0.0011229647,0.0002656662
w1011,0.0002138088,0.0001884353,0.0016191755,0.0011648634
w1015,0.0003649305,0.0003519425,0.0028351792,0.0029176916
