perfil,esperado,existente,ausente,cobertura_pct,ausencia_pct
sa7036,39,38,1,97.43589743589743,2.564102564102564
sa7038,39,38,1,97.43589743589743,2.564102564102564
sd2030,39,38,1,97.43589743589743,2.564102564102564
sd7003,39,38,1,97.43589743589743,2.564102564102564
sd7032,39,38,1,97.43589743589743,2.564102564102564
sd8020,39,38,1,97.43589743589743,2.564102564102564
sg6041,39,38,1,97.43589743589743,2.564102564102564
sg6050,39,38,1,97.43589743589743,2.564102564102564
ag11,39,39,0,100.0,0.0
ag23,39,39,0,100.0,0.0
ag25,39,39,0,100.0,0.0
ag26,39,39,0,100.0,0.0
ag52,39,39,0,100.0,0.0
ag53,39,39,0,100.0,0.0
ah63k127,39,39,0,100.0,0.0
ah79k135,39,39,0,100.0,0.0
as5045,39,39,0,100.0,0.0
as5046,39,39,0,100.0,0.0
as6094,39,39,0,100.0,0.0
clarky,39,39,0,100.0,0.0
clarkyh,39,39,0,100.0,0.0
clarkz,39,39,0,100.0,0.0
e169,39,39,0,100.0,0.0
e174,39,39,0,100.0,0.0
e176,39,39,0,100.0,0.0
e193,39,39,0,100.0,0.0
e197,39,39,0,100.0,0.0
e201,39,39,0,100.0,0.0
e205,39,39,0,100.0,0.0
e210,39,39,0,100.0,0.0
e212,39,39,0,100.0,0.0
e214,39,39,0,100.0,0.0
e216,39,39,0,100.0,0.0
e220,39,39,0,100.0,0.0
e221,39,39,0,100.0,0.0
e224,39,39,0,100.0,0.0
e231,39,39,0,100.0,0.0
e374,39,39,0,100.0,0.0
e387,39,39,0,100.0,0.0
e431,39,39,0,100.0,0.0
fx60100,39,39,0,100.0,0.0
fx60126,39,39,0,100.0,0.0
fx68h120,39,39,0,100.0,0.0
fx71l150,39,39,0,100.0,0.0
fx73cl2152,39,39,0,100.0,0.0
fx76mp160,39,39,0,100.0,0.0
fx77w153,39,39,0,100.0,0.0
goe222,39,39,0,100.0,0.0
goe223,39,39,0,100.0,0.0
goe398,39,39,0,100.0,0.0
hs1620,39,39,0,100.0,0.0
hs1712,39,39,0,100.0,0.0
jx-gs-04,39,39,0,100.0,0.0
mh24,39,39,0,100.0,0.0
mh26,39,39,0,100.0,0.0
mh43,39,39,0,100.0,0.0
mh44,39,39,0,100.0,0.0
mh45,39,39,0,100.0,0.0
mh60,39,39,0,100.0,0.0
mh61,39,39,0,100.0,0.0
mh70,39,39,0,100.0,0.0
mh91,39,39,0,100.0,0.0
naca1410,39,39,0,100.0,0.0
naca1412,39,39,0,100.0,0.0
naca23012,39,39,0,100.0,0.0
naca2410,39,39,0,100.0,0.0
naca2415,39,39,0,100.0,0.0
naca2421,39,39,0,100.0,0.0
naca4412,39,39,0,100.0,0.0
naca4421,39,39,0,100.0,0.0
raf15,39,39,0,100.0,0.0
rg14,39,39,0,100.0,0.0
rg15,39,39,0,100.0,0.0
s1012,39,39,0,100.0,0.0
s1020,39,39,0,100.0,0.0
s102b,39,39,0,100.0,0.0
s102s,39,39,0,100.0,0.0
s1210,39,39,0,100.0,0.0
s1221,39,39,0,100.0,0.0
s1223,39,39,0,100.0,0.0
s2027,39,39,0,100.0,0.0
s2048,39,39,0,100.0,0.0
s2091,39,39,0,100.0,0.0
s3021,39,39,0,100.0,0.0
s4061,39,39,0,100.0,0.0
s4094,39,39,0,100.0,0.0
s4095,39,39,0,100.0,0.0
s4096,39,39,0,100.0,0.0
s4110,39,39,0,100.0,0.0
s4158,39,39,0,100.0,0.0
s4180,39,39,0,100.0,0.0
sa7026,39,39,0,100.0,0.0
sd7037,39,39,0,100.0,0.0
sd7062,39,39,0,100.0,0.0
sd7080,39,39,0,100.0,0.0
sd8040,39,39,0,100.0,0.0
sg6040,39,39,0,100.0,0.0
sg6042,39,39,0,100.0,0.0
sg6043,39,39,0,100.0,0.0
sg6051,39,39,0,100.0,0.0
usa35b,39,39,0,100.0,0.0
usa45,39,39,0,100.0,0.0
w1011,39,39,0,100.0,0.0
w1015,39,39,0,100.0,0.0
