perfil,Re,esperado,existente,ausente,cobertura_pct
fx78k140,200000,13,9,4,69.23076923076923
fx78k140,250000,13,9,4,69.23076923076923
fx78k140,300000,13,10,3,76.92307692307693
goe222,200000,13,13,0,100.0
goe222,250000,13,13,0,100.0
goe222,300000,13,13,0,100.0
goe223,200000,13,13,0,100.0
goe223,250000,13,13,0,100.0
goe223,300000,13,13,0,100.0
goe387,200000,13,13,0,100.0
goe387,250000,13,12,1,92.3076923076923
goe387,300000,13,13,0,100.0
goe398,200000,13,13,0,100.0
goe398,250000,13,13,0,100.0
goe398,300000,13,13,0,100.0
hs1404,200000,13,7,6,53.84615384615385
hs1404,250000,13,7,6,53.84615384615385
hs1404,300000,13,7,6,53.84615384615385
hs1430,200000,13,13,0,100.0
hs1430,250000,13,12,1,92.3076923076923
hs1430,300000,13,12,1,92.3076923076923
hs1606,200000,13,12,1,92.3076923076923
hs1606,250000,13,10,3,76.92307692307693
hs1606,300000,13,10,3,76.92307692307693
hs1620,200000,13,13,0,100.0
hs1620,250000,13,13,0,100.0
hs1620,300000,13,13,0,100.0
hs1708,200000,13,13,0,100.0
hs1708,250000,13,13,0,100.0
hs1708,300000,13,12,1,92.3076923076923
hs1712,200000,13,13,0,100.0
hs1712,250000,13,13,0,100.0
hs1712,300000,13,13,0,100.0
jx-gs-04,200000,13,13,0,100.0
jx-gs-04,250000,13,13,0,100.0
jx-gs-04,300000,13,13,0,100.0
jx-gs-06,200000,13,10,3,76.92307692307693
jx-gs-06,250000,13,13,0,100.0
jx-gs-06,300000,13,13,0,100.0
jx-gs-10,200000,13,11,2,84.61538461538461
jx-gs-10,250000,13,10,3,76.92307692307693
jx-gs-10,300000,13,13,0,100.0
jx-gs-15,200000,13,13,0,100.0
jx-gs-15,250000,13,12,1,92.3076923076923
jx-gs-15,300000,13,11,2,84.61538461538461
kc135winglet,200000,13,12,1,92.3076923076923
kc135winglet,250000,13,13,0,100.0
kc135winglet,300000,13,13,0,100.0
l1003,200000,13,6,7,46.15384615384615
l1003,250000,13,4,9,30.76923076923077
l1003,300000,13,8,5,61.53846153846154
la5055,200000,13,10,3,76.92307692307693
la5055,250000,13,4,9,30.76923076923077
la5055,300000,13,12,1,92.3076923076923
lrn1015,200000,13,9,4,69.23076923076923
lrn1015,250000,13,12,1,92.3076923076923
lrn1015,300000,13,13,0,100.0
mh114,200000,13,13,0,100.0
mh114,250000,13,11,2,84.61538461538461
mh114,300000,13,13,0,100.0
mh20,200000,13,12,1,92.3076923076923
mh20,250000,13,12,1,92.3076923076923
mh20,300000,13,10,3,76.92307692307693
mh22,200000,13,9,4,69.23076923076923
mh22,250000,13,9,4,69.23076923076923
mh22,300000,13,8,5,61.53846153846154
mh24,200000,13,13,0,100.0
mh24,250000,13,13,0,100.0
mh24,300000,13,13,0,100.0
mh26,200000,13,13,0,100.0
mh26,250000,13,13,0,100.0
mh26,300000,13,13,0,100.0
mh27,200000,13,10,3,76.92307692307693
mh27,250000,13,11,2,84.61538461538461
mh27,300000,13,13,0,100.0
mh30,200000,13,11,2,84.61538461538461
mh30,250000,13,13,0,100.0
mh30,300000,13,11,2,84.61538461538461
mh32,200000,13,11,2,84.61538461538461
mh32,250000,13,13,0,100.0
mh32,300000,13,13,0,100.0
mh33,200000,13,10,3,76.92307692307693
mh33,250000,13,12,1,92.3076923076923
mh33,300000,13,13,0,100.0
mh43,200000,13,13,0,100.0
mh43,250000,13,13,0,100.0
mh43,300000,13,13,0,100.0
mh44,200000,13,13,0,100.0
