perfil,Re,Mach,alpha,resultado_xfoil
naca0008,200000,0.1,11,False
naca0008,200000,0.1,12,False
naca0008,250000,0.1,10,False
naca0008,250000,0.1,11,False
naca0008,250000,0.1,12,False
naca0008,300000,0.1,12,False
naca0010,300000,0.1,4,False
naca0015,250000,0.1,1,False
naca0018,250000,0.1,4,False
naca0018,300000,0.1,9,False
naca1408,200000,0.1,10,False
naca1408,200000,0.1,11,False
naca1408,200000,0.1,12,False
naca1408,250000,0.1,11,False
naca1408,250000,0.1,12,False
naca1408,300000,0.1,4,False
naca1408,300000,0.1,10,False
naca1408,300000,0.1,11,False
naca1408,300000,0.1,12,False
naca23015,300000,0.1,0,False
naca2408,200000,0.1,11,False
naca2408,200000,0.1,12,False
naca2408,250000,0.1,12,False
naca2412,300000,0.1,5,False
naca4415,200000,0.1,1,False
npl9510,200000,0.1,9,False
npl9510,200000,0.1,10,False
npl9510,200000,0.1,11,False
npl9510,200000,0.1,12,False
npl9510,300000,0.1,9,False
npl9510,300000,0.1,10,False
npl9510,300000,0.1,11,False
npl9510,300000,0.1,12,False
rae2822,200000,0.1,9,False
rae2822,200000,0.1,10,False
rae2822,200000,0.1,11,False
rae2822,200000,0.1,12,False
rae2822,250000,0.1,10,False
rae2822,250000,0.1,11,False
rae2822,250000,0.1,12,False
rae2822,300000,0.1,10,False
rae2822,300000,0.1,11,False
rae2822,300000,0.1,12,False
raf19,250000,0.1,0,False
raf19,250000,0.1,1,False
raf19,250000,0.1,2,False
raf19,250000,0.1,3,False
raf19,250000,0.1,4,False
raf19,250000,0.1,5,False
raf19,250000,0.1,6,False
raf19,250000,0.1,7,False
raf19,250000,0.1,8,False
raf19,250000,0.1,9,False
raf19,250000,0.1,10,False
raf19,250000,0.1,11,False
raf19,250000,0.1,12,False
raf19,300000,0.1,0,False
rg8,200000,0.1,11,False
rg8,200000,0.1,12,False
rg8,250000,0.1,6,False
s1010,200000,0.1,8,False
s1010,250000,0.1,10,False
s1010,300000,0.1,10,False
s1010,300000,0.1,11,False
s1010,300000,0.1,12,False
s1014,200000,0.1,0,False
s1014,200000,0.1,2,False
s1014,300000,0.1,9,False
s1016,250000,0.1,2,False
s1016,250000,0.1,5,False
s1016,300000,0.1,6,False
s1046,250000,0.1,2,False
s1046,250000,0.1,6,False
s1046,250000,0.1,12,False
s1091,300000,0.1,0,False
s1091,300000,0.1,1,False
s1091,300000,0.1,2,False
s1091,300000,0.1,3,False
s1091,300000,0.1,4,False
s1091,300000,0.1,5,False
s1091,300000,0.1,6,False
s1091,300000,0.1,7,False
s1091,300000,0.1,8,False
s1091,300000,0.1,9,False
s1091,300000,0.1,10,False
s1091,300000,0.1,11,False
s1091,300000,0.1,12,False
s8064,250000,0.1,1,False
s8065,250000,0.1,12,False
s8066,200000,0.1,8,False
s8066,200000,0.1,9,False
s8066,200000,0.1,10,False
s8066,200000,0.1,11,False
s8066,200000,0.1,12,False
sa7024,300000,0.1,11,False
sa7024,300000,0.1,12,False
sa7035,300000,0.1,6,False
sa7036,300000,0.1,8,False
sa7038,300000,0.1,7,False
sd2030,250000,0.1,6,False
sd7003,300000,0.1,0,False
sd7032,250000,0.1,5,False
sd8020,300000,0.1,11,False
sg6041,200000,0.1,6,False
sg6050,300000,0.1,6,False
