perfil,x_c,camber_pct,thickness_pct,yu,yl
ag54,0.98,0.11269455134116123,0.27552331344558223,0.0025045620806395234,-0.00025067105381629864
ah21-7,0.02,0.42763135767917665,3.4149577507626,0.021351102330604766,-0.012798475177021233
ah21-7,0.05,0.705707661521085,5.11867442994539,0.0326504487649378,-0.0185362955345161
ah21-7,0.1,1.0472483419511764,6.6905238738672175,0.04392510278884785,-0.02298013594982432
ah21-7,0.25,1.7234711937510687,8.6772102945401,0.060620763410211186,-0.026151339535189815
ah21-7,0.5,2.2396064935371314,8.484025508566736,0.064816192478205,-0.020024062607462374
ah21-7,0.75,1.9860742612885451,5.613663601535476,0.04792906062056283,-0.00820757539479193
ah21-7,0.9,1.2052793036789593,2.4809301841541687,0.024457443957560436,-0.0003518578839812511
ah21-7,0.95,0.7158662017345458,1.230942179156601,0.013313372913128464,0.0010039511215624523
ah21-7,0.98,0.32062763942415834,0.4808737299170197,0.005610645043826682,0.000801907744656485
ah21-9,0.02,0.3334528324889518,2.662882841425206,0.01664894253201555,-0.009979885882236514
ah21-9,0.05,0.5502894753321356,3.9913890179747282,0.025459839843194998,-0.014454050336552286
ah21-9,0.1,0.8166136553880257,5.217067834693732,0.03425147572734892,-0.017919202619588407
ah21-9,0.25,1.3439100390893564,6.766222022387697,0.04727021050283205,-0.02039200972104492
ah21-9,0.5,1.746377854067302,6.615582941412747,0.05054169324773675,-0.015614136166390718
ah21-9,0.75,1.548681521733636,4.377361460142413,0.037373622518048426,-0.006399992083375705
ah21-9,0.9,0.9398401881024747,1.9345519944104959,0.019071161853077227,-0.0002743580910277317
ah21-9,0.95,0.5582091177278662,0.9598509703107968,0.010381346028832646,0.0007828363257246782
ah21-9,0.98,0.25001429129137276,0.37497094450851115,0.004374997635456283,0.0006252881903711716
ah63k127,0.02,0.5552005712633286,3.42706804028368,0.022687345914051686,-0.011583334488785115
ah63k127,0.05,1.0351978639309205,5.424224804506758,0.03747310266184299,-0.016769145383224583
ah63k127,0.1,1.7293736682445555,7.686459686307702,0.055726035113984065,-0.021138561749092954
ah63k127,0.25,3.1332613277801515,11.473648532371216,0.0887008559396576,-0.026035629384054564
ah63k127,0.5,3.7503903480284615,12.39560856096253,0.09948194628509727,-0.024474139324528035
ah63k127,0.75,2.2090262503579945,6.4978330477656305,0.0545794277424081,-0.010398902735248211
ah63k127,0.9,1.156262700938218,1.922734601280179,0.021176300015783075,0.0019489540029812848
ah63k127,0.95,0.7704674676518926,0.9799974817833315,0.012604662085435583,0.0028046872676022678
ah63k127,0.98,0.3841022522175686,0.4397922911659991,0.006039983978005681,0.0016420610663456904
ah79k132,0.02,0.4570815063780797,3.8158100022099974,0.023649865074830786,-0.014508234947269192
ah79k132,0.05,1.0088626032330301,6.036749658447313,0.040272374324566866,-0.020095122259906263
ah79k132,0.1,1.8598193715320053,8.482732736769389,0.061011857399167,-0.023815469968526896
ah79k132,0.25,3.2997506749722296,12.201271815747072,0.09400386582845766,-0.028008852329013068
ah79k132,0.5,3.5721819761178777,12.889280887039448,0.10016822419637601,-0.028724584674018457
ah79k132,0.75,1.6920888978326074,7.258199525370528,0.05321188660517871,-0.01937010864852656
