candidate_id,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,Re,alpha_pred,CL_pred,CD_pred,CM_pred,CL_CD_pred,distance_to_train,max_thickness,CM_local_min,CM_local_max,xfoil_converged,alpha_xfoil,CL_xfoil,CD_xfoil,CM_xfoil,CL_CD_xfoil,erro_CL_pct,erro_CD_pct,erro_CL_CD_pct
11,0.15843623331635107,0.2746559504324253,0.22182806183878506,0.08007026113533428,0.16512685288651158,0.28698039969080313,0.5930165746291465,-0.10961372975293188,-0.010431294582585134,-0.0037848401189126326,0.07145583959601189,-0.03424595453033964,0.08907983833882678,0.27083781104604443,250000.0,3.866670281673338,1.353999376296997,0.009835037402808666,-0.18505899608135223,137.67099410423444,2.3612999083449955,0.08655778510212106,-0.186055,0.003314999999999995,True,3.867,1.0055,0.01618,-0.1442,62.14462299134735,34.65931141690671,39.21484917918006,121.53323566449657
12,0.15870380636363413,0.27467088198284073,0.2173263314069716,0.07923094026314165,0.1634587701338934,0.28414902743599013,0.5927816543371472,-0.10975861710405335,-0.011948808032688642,-0.009785664700886066,0.0627134735004738,-0.03360253745681495,0.090056948576408,0.2790177160014822,250000.0,3.841783679596773,1.353999376296997,0.009835037402808666,-0.18530458211898804,137.67099410423444,2.321119432437741,0.08715318007685673,-0.186055,0.003314999999999995,True,3.842,1.0006,0.01615,-0.144,61.95665634674922,35.31874638187059,39.10193558632405,122.20533227897127
13,0.15864527428611028,0.275854288811032,0.21920883933688146,0.08193324088161685,0.1631965778977769,0.28558134868631563,0.5926764895165586,-0.1096840776390626,-0.0109502138481214,-0.0008440766516296275,0.06921362314311946,-0.032980401816403035,0.0920027570353851,0.27999213720419974,250000.0,3.882595500523995,1.353999376296997,0.009835037402808666,-0.18526673316955566,137.67099410423444,2.3382500550006333,0.08644469933074685,-0.186055,0.003314999999999995,True,3.883,1.0145,0.01624,-0.1458,62.46921182266009,33.46469948713624,39.43942485955255,120.38215320382133
14,0.15848931141466263,0.2747007609516471,0.22475132194998,0.08254954338411036,0.16368040149571153,0.284556692418962,0.5971839995096391,-0.10986086030994671,-0.008260901488491817,-0.0075734744112999075,0.063768815605357,-0.034107166096251904,0.08925635618899215,0.26959493765687326,250000.0,3.828267399869959,1.353999376296997,0.009835037402808666,-0.18505899608135223,137.67099410423444,2.3506143395564023,0.08715270655287315,-0.186055,0.003314999999999995,True,3.828,0.9995,0.01613,-0.1436,61.965282083075024,35.46767146543242,39.026426516995244,122.17440069047535
15,0.15909932149026143,0.2741065899617131,0.2209027804724327,0.08270158962642155,0.1646484432938305,0.28490894148411816,0.5938826760509246,-0.10980444596234767,-0.010831805422161805,-0.010220464846198051,0.07016826445742792,-0.03297918869687952,0.09234926122787931,0.27894115120036256,250000.0,3.718578840905111,1.353999376296997,0.009835037402808666,-0.18526673316955566,137.67099410423444,2.327556575375084,0.08719504414587412,-0.186055,0.003314999999999995,True,3.719,0.9937,0.01603,-0.1457,61.99001871490955,36.25836533128681,38.64605487954668,122.08574373461586
16,0.15879346482816994,0.27420907353525825,0.22163361058766204,0.07930305067243665,0.16390638888226916,0.2859305970386841,0.5866930597645789,-0.10983142856900416,-0.008901141728100734,-0.005944160555742856,0.06231026191500577,-0.03337832994630652,0.09049375190581645,0.26544814303143105,250000.0,3.864893388306669,1.353999376296997,0.009835037402808666,-0.18526673316955566,137.67099410423444,2.347461178969127,0.08673090858289922,-0.186055,0.003314999999999995,True,3.865,1.0006,0.01613,-0.1426,62.033477991320524,35.31874638187059,39.026426516995244,121.930155396892
17,0.15810769113007178,0.27491272588583804,0.22283870984314086,0.08003334716952348,0.16396717637043082,0.2848947133435704,0.5986173122854285,-0.10976564047152218,-0.01089434494260414,-0.004711932714969974,0.07124535891733247,-0.03384060179444187,0.09241469357129704,0.28315490424523015,250000.0,3.7254033834165625,1.353999376296997,0.009835037402808666,-0.18504025042057037,137.67099410423444,2.3564510652384953,0.08680390095516753,-0.186055,0.003314999999999995,True,3.725,0.9978,0.01613,-0.1466,61.8598884066956,35.69847427310053,39.026426516995244,122.5529299359893
18,0.15802413545820929,0.2747222567756504,0.22051575006373503,0.08150808400307047,0.1622066760720143,0.28465383235605785,0.5878754535124697,-0.10952473114851666,-0.013670575828510285,-0.00866806982625516,0.06785175109069712,-0.03354852772573253,0.09144620823536898,0.2868266197984674,250000.0,3.7115498066728785,1.353999376296997,0.009835037402808666,-0.18504025042057037,137.67099410423444,2.3079059578120997,0.08740615403724254,-0.186055,0.003314999999999995,True,3.712,0.9963,0.01606,-0.1464,62.036114570361136,35.90277790795916,38.76066374340806,121.92072320726743
19,0.15925662680478608,0.2751334251408776,0.22025675152970514,0.07977408958362048,0.16236596688562854,0.2856032287758209,0.5868008248008181,-0.10962035573855858,-0.013928511957073439,-0.004392388138638204,0.05988487108556198,-0.0335185119533689,0.08963701425648754,0.2804598109218569,250000.0,3.800355188382845,1.353999376296997,0.009835037402808666,-0.18526673316955566,137.67099410423444,2.309192410952372,0.08741335667388005,-0.186055,0.003314999999999995,True,3.8,0.9996,0.01613,-0.1444,61.97148171109734,35.45411927741066,39.026426516995244,122.15217435987408
20,0.15829719810162046,0.2754465302625215,0.22256017443813492,0.0791618829649014,0.16401480626270726,0.28585672932175,0.5927816543371472,-0.10976116283019696,-0.01256924732046856,-0.009785664700886066,0.06933995857073094,-0.03333435905148858,0.090056948576408,0.2876105776580077,250000.0,3.5601782417205188,1.353999376296997,0.009835037402808666,-0.18504025042057037,137.67099410423444,2.32243361784473,0.08757624327522377,-0.186055,0.003314999999999995,True,3.56,0.9791,0.01597,-0.1465,61.30870381966186,38.29020286967594,38.41554538003341,124.55375097994325
