Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,DeltaTE_upper,DeltaTE_lower,Re,alpha
0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,250000,5.0
0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,250000,6.0
0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,250000,7.0
0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,250000,8.0
0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,250000,9.0
0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,250000,10.0
0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,250000,11.0
0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,250000,12.0
0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,300000,0.0
0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,300000,1.0
0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,300000,2.0
0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,300000,3.0
0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,300000,4.0
0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,300000,5.0
0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,300000,6.0
0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,300000,7.0
0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,300000,8.0
0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,300000,9.0
0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,300000,10.0
0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,300000,11.0
0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,300000,12.0
0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,200000,0.0
0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,200000,1.0
0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,200000,2.0
0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,200000,3.0
0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,200000,4.0
0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,200000,5.0
0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,200000,6.0
0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,200000,7.0
0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,250000,0.0
0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,250000,1.0
0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,250000,2.0
0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,250000,3.0
0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,250000,4.0
0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,250000,5.0
0.127857145,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.003069255,-0.003069255,250000,6.0
